,Date,Kp_max,Kp,Ap,C9,Rz,SFU
0,2004-01-01,4.666666666666667,30.333333333333332,24,6,32,112.2
1,2004-01-02,4.0,23.666666666666668,15,4,40,112.6
2,2004-01-03,4.666666666666667,28.666666666666668,22,5,45,112.3
3,2004-01-04,4.333333333333333,29.0,22,5,46,115.5
4,2004-01-05,4.666666666666667,30.666666666666668,25,6,44,119.0
5,2004-01-06,6.0,26.333333333333332,24,5,39,113.4
6,2004-01-07,5.0,32.333333333333336,29,6,50,114.9
7,2004-01-08,3.3333333333333335,13.333333333333334,7,1,53,116.1
8,2004-01-09,5.0,28.666666666666668,23,5,38,114.4
9,2004-01-10,5.333333333333333,30.333333333333332,26,6,36,115.3
10,2004-01-11,4.666666666666667,24.333333333333332,19,5,32,114.6
11,2004-01-12,3.6666666666666665,15.666666666666666,9,2,29,114.4
12,2004-01-13,4.333333333333333,26.333333333333332,20,5,35,114.1
13,2004-01-14,4.0,20.333333333333332,12,3,34,117.1
14,2004-01-15,4.0,24.0,18,5,43,115.2
15,2004-01-16,4.666666666666667,32.0,29,6,50,116.4
16,2004-01-17,4.0,26.333333333333332,18,5,49,118.6
17,2004-01-18,4.333333333333333,25.333333333333332,18,5,43,115.6
18,2004-01-19,4.333333333333333,25.666666666666668,18,5,54,130.3
19,2004-01-20,4.333333333333333,26.333333333333332,18,5,61,124.8
20,2004-01-21,3.6666666666666665,23.333333333333332,14,4,61,126.0
21,2004-01-22,7.0,42.666666666666664,64,7,49,117.9
22,2004-01-23,6.0,37.666666666666664,43,7,42,111.6
23,2004-01-24,5.0,25.0,18,5,34,104.1
24,2004-01-25,5.666666666666667,36.0,38,6,16,99.1
25,2004-01-26,4.0,25.666666666666668,18,5,13,95.0
26,2004-01-27,4.0,25.333333333333332,17,4,0,90.8
27,2004-01-28,5.666666666666667,27.666666666666668,23,5,8,85.9
28,2004-01-29,3.0,16.666666666666668,9,2,16,84.8
29,2004-01-30,4.666666666666667,26.666666666666668,19,5,27,89.9
30,2004-01-31,4.333333333333333,17.666666666666668,10,3,38,91.6
31,2004-02-01,3.3333333333333335,18.666666666666668,10,3,43,94.5
32,2004-02-02,4.333333333333333,24.666666666666668,18,5,64,98.5
33,2004-02-03,4.333333333333333,27.666666666666668,20,5,63,96.6
34,2004-02-04,4.0,23.666666666666668,15,4,60,98.6
35,2004-02-05,3.3333333333333335,21.0,12,3,62,102.5
36,2004-02-06,4.666666666666667,27.0,21,5,51,103.7
37,2004-02-07,2.6666666666666665,14.666666666666666,7,2,40,108.1
38,2004-02-08,2.6666666666666665,7.333333333333333,4,0,45,113.1
39,2004-02-09,2.6666666666666665,13.333333333333334,7,1,48,114.7
40,2004-02-10,2.3333333333333335,13.0,6,1,48,113.5
41,2004-02-11,6.333333333333333,25.333333333333332,28,6,44,111.2
42,2004-02-12,5.0,32.666666666666664,30,6,48,109.3
43,2004-02-13,4.333333333333333,30.666666666666668,25,6,48,105.1
44,2004-02-14,4.0,27.666666666666668,20,5,38,101.1
45,2004-02-15,4.666666666666667,28.666666666666668,24,5,50,99.6
46,2004-02-16,3.6666666666666665,11.666666666666666,7,1,41,96.3
47,2004-02-17,1.6666666666666667,8.333333333333334,4,0,18,99.5
48,2004-02-18,3.0,15.0,8,2,22,95.4
49,2004-02-19,3.0,14.333333333333334,8,2,18,94.2
