date,open,high,low,close
2017-05-15,430.25,431.0,421.75,424.25
2017-05-12,434.25,437.5,431.5,432.75
2017-05-11,432.25,435.75,428.62,433.5
2017-05-10,429.5,435.5,426.25,431.75
2017-05-09,433.75,434.5,428.75,429.75
2017-05-08,440.75,441.5,433.0,434.0
2017-05-05,438.75,444.0,436.25,443.0
2017-05-04,454.5,455.25,436.0,438.25
2017-05-03,452.25,456.0,446.0,453.5
2017-05-02,457.25,461.5,448.5,454.5
2017-05-01,441.5,456.0,439.38,456.0
2017-04-28,431.75,434.38,429.75,432.62
2017-04-27,426.5,433.0,425.25,431.5
2017-04-26,428.75,432.5,424.75,426.0
2017-04-25,418.75,429.5,416.25,427.25
2017-04-24,424.25,424.75,418.25,419.0
2017-04-21,405.75,408.0,400.25,405.75
2017-04-20,418.62,421.75,406.75,406.75
2017-04-19,422.0,425.75,417.75,418.5
2017-04-18,422.25,423.5,419.25,422.25
2017-04-17,430.25,431.25,420.0,421.25
2017-04-13,433.0,436.0,429.0,429.75
2017-04-12,433.5,436.5,431.5,433.38
2017-04-11,428.25,434.75,424.0,434.12
2017-04-10,423.75,429.0,422.5,428.75
2017-04-07,422.5,425.5,419.75,423.62
2017-04-06,429.25,430.75,422.0,423.0
2017-04-05,426.75,430.5,425.25,430.25
2017-04-04,426.25,432.0,426.25,427.25
2017-04-03,430.5,434.0,428.75,429.25
2017-03-31,422.0,431.25,417.0,425.75
2017-03-30,425.0,426.25,419.75,420.75
2017-03-29,424.25,427.5,422.75,425.5
2017-03-28,420.75,425.75,419.5,424.75
2017-03-27,425.5,425.75,418.5,421.25
2017-03-24,421.5,426.25,421.0,424.25
2017-03-23,421.75,424.75,420.25,421.25
2017-03-22,427.12,427.12,422.0,422.25
2017-03-21,430.25,430.5,423.25,426.5
2017-03-20,440.25,442.62,429.25,430.75
2017-03-17,435.5,437.62,433.0,436.75
2017-03-16,436.5,440.75,434.75,436.75
2017-03-15,431.25,437.0,430.75,436.0
2017-03-14,431.25,434.5,428.75,431.0
2017-03-13,440.25,441.75,430.25,430.75
2017-03-10,442.88,445.5,439.75,442.0
2017-03-09,447.75,450.75,442.5,443.75
2017-03-08,457.25,457.25,445.5,447.5
2017-03-07,459.25,460.75,451.0,456.25
2017-03-06,456.75,462.5,456.5,458.75
2017-03-03,451.0,455.5,448.25,454.25
2017-03-02,457.5,459.5,450.12,453.5
2017-03-01,443.0,457.25,442.5,457.25
2017-02-28,440.75,454.38,439.25,443.75
2017-02-27,447.5,447.75,438.25,438.75
2017-02-24,438.38,438.5,430.25,433.0
2017-02-23,441.62,444.25,436.5,437.0
2017-02-22,437.75,443.0,435.5,441.0
2017-02-21,439.0,440.75,435.25,437.0
2017-02-17,445.5,447.5,441.12,441.25
2017-02-16,454.25,464.25,447.5,447.75
2017-02-15,449.25,455.0,446.5,455.0
2017-02-14,450.75,452.0,446.62,449.75
2017-02-13,448.0,456.0,444.5,451.5
2017-02-10,442.75,450.75,441.25,449.75
2017-02-09,431.0,443.5,429.75,443.5
2017-02-08,430.25,433.0,427.75,432.75
2017-02-07,423.0,430.0,420.0,430.0
2017-02-06,428.5,432.5,423.25,423.5
2017-02-03,434.25,435.5,430.75,430.88
2017-02-02,433.0,437.75,429.75,435.25
2017-02-01,421.25,432.75,417.25,432.75
2017-01-31,415.5,421.0,413.25,421.0
2017-01-30,417.5,419.0,413.12,414.25
2017-01-27,425.5,427.5,419.5,421.75
2017-01-26,425.25,430.5,422.0,426.12
2017-01-25,425.38,428.88,423.25,424.25
2017-01-24,433.25,434.5,426.75,427.75
2017-01-23,429.25,433.0,427.5,433.0
2017-01-20,423.0,428.0,421.75,428.0
2017-01-19,430.75,430.75,423.5,423.5
2017-01-18,433.25,434.25,428.75,431.0
2017-01-17,426.0,437.62,423.75,432.75
2017-01-13,426.75,426.75,419.5,426.25
2017-01-12,418.75,429.88,414.5,425.88
2017-01-11,425.0,426.0,412.25,419.0
2017-01-10,426.5,427.25,423.5,427.0
2017-01-09,424.0,428.25,421.12,427.25
2017-01-06,425.75,428.0,422.0,423.0
2017-01-05,419.25,427.0,416.5,425.5
2017-01-04,406.5,418.0,405.0,418.0
2017-01-03,408.38,414.0,406.38,406.38
2016-12-30,405.75,409.25,404.75,407.75
2016-12-29,403.5,407.0,402.75,404.75
2016-12-28,409.75,410.0,400.5,401.75
2016-12-27,395.25,411.0,395.25,410.0
2016-12-23,397.5,398.25,392.75,394.38
2016-12-22,399.0,400.5,396.75,396.75
2016-12-21,402.75,404.5,399.25,399.5
2016-12-20,406.0,407.75,400.5,403.0
2016-12-19,412.5,413.25,403.25,405.25
2016-12-16,408.5,410.5,404.75,408.75
2016-12-15,417.75,418.0,408.75,409.0
2016-12-14,416.5,418.25,413.25,418.25
2016-12-13,416.62,420.75,414.5,418.0
2016-12-12,415.25,416.75,408.75,416.75
2016-12-09,409.25,416.38,404.0,416.0
2016-12-08,402.38,409.25,402.0,407.75
2016-12-07,406.75,407.5,399.75,401.25
2016-12-06,409.5,413.0,406.25,407.0
2016-12-05,405.25,410.0,404.75,408.5
2016-12-02,397.75,403.0,396.75,403.0
2016-12-01,403.75,404.5,393.25,395.75
2016-11-30,409.5,414.0,403.0,403.0
2016-11-29,415.25,415.5,408.0,408.25
2016-11-28,420.5,421.25,414.5,418.0
2016-11-25,401.62,403.5,396.75,396.75
2016-11-23,407.0,407.25,396.62,401.5
2016-11-22,410.5,411.75,406.25,406.25
2016-11-21,409.0,412.0,404.75,410.75
2016-11-18,403.0,410.0,400.5,408.75
2016-11-17,398.25,406.25,396.75,403.25
2016-11-16,400.0,401.0,397.0,397.0
2016-11-15,394.75,402.0,393.0,399.0
2016-11-14,403.5,403.75,392.75,394.0
2016-11-11,405.75,407.5,401.25,402.0
2016-11-10,408.5,414.25,402.5,405.0
2016-11-09,416.0,417.75,404.0,407.75
2016-11-08,410.5,419.75,408.38,414.5
2016-11-07,414.12,415.75,406.75,408.5
2016-11-04,411.75,415.25,410.5,414.25
2016-11-03,417.75,420.0,409.5,411.5
2016-11-02,414.38,420.25,412.25,418.5
2016-11-01,416.0,418.25,411.0,414.0
2016-10-31,410.75,416.75,409.25,415.25
2016-10-28,415.75,417.5,407.62,408.0
2016-10-27,412.0,418.75,411.75,415.0
2016-10-26,403.5,414.12,403.0,411.75
2016-10-25,403.75,406.5,398.88,404.75
2016-10-24,413.5,416.88,400.75,403.5
2016-10-21,416.75,418.25,413.5,414.5
2016-10-20,420.12,422.75,415.5,417.0
2016-10-19,420.12,422.5,414.0,420.0
2016-10-18,425.0,425.5,418.5,419.5
2016-10-17,418.75,425.5,416.25,424.25
2016-10-14,415.5,428.25,415.25,420.75
2016-10-13,397.75,417.0,397.5,416.5
2016-10-12,404.88,414.0,396.25,397.5
2016-10-11,404.0,408.75,401.5,407.25
2016-10-10,397.25,405.38,397.25,404.25
2016-10-07,397.25,401.0,394.5,395.0
2016-10-06,407.75,409.5,393.5,395.25
2016-10-05,395.5,408.25,392.0,405.5
2016-10-04,395.75,398.25,393.0,395.75
2016-10-03,400.5,401.75,391.75,396.75
2016-09-30,398.75,403.88,390.25,401.75
2016-09-29,402.5,406.75,398.0,399.0
2016-09-28,404.75,407.25,402.0,403.38
2016-09-27,398.0,405.0,394.25,404.25
2016-09-26,403.75,407.0,395.5,396.0
2016-09-23,404.25,409.5,401.38,405.25
2016-09-22,406.0,411.75,404.5,405.75
2016-09-21,405.0,409.0,402.5,408.25
2016-09-20,403.25,410.0,401.5,405.75
2016-09-19,404.75,409.0,400.0,404.0
2016-09-16,398.75,404.5,394.25,403.88
2016-09-15,402.0,406.75,398.25,399.5
2016-09-14,400.75,404.25,395.25,402.25
2016-09-13,408.0,410.88,399.25,400.0
2016-09-12,402.5,410.0,400.0,408.75
2016-09-09,405.5,406.0,397.12,403.0
2016-09-08,403.0,406.75,398.5,406.0
2016-09-07,398.12,405.0,397.5,402.5
2016-09-06,398.25,402.75,395.0,398.0
2016-09-02,394.5,401.5,394.5,399.0
2016-09-01,391.5,397.25,389.75,394.62
2016-08-31,392.88,395.75,387.0,387.5
2016-08-30,397.0,400.75,391.75,392.5
2016-08-29,407.25,407.75,395.5,397.25
2016-08-26,401.0,402.38,381.25,384.12
2016-08-25,404.75,408.0,401.38,401.38
2016-08-24,407.88,409.25,403.0,404.5
2016-08-23,414.75,415.0,407.0,407.5
2016-08-22,427.25,429.12,414.75,415.25
2016-08-19,426.62,432.5,422.5,427.5
2016-08-18,424.5,428.0,420.0,427.25
2016-08-17,423.38,428.38,419.75,426.25
2016-08-16,420.88,427.88,414.88,423.5
2016-08-15,422.0,430.0,417.25,422.62
2016-08-12,416.12,422.62,406.62,422.62
2016-08-11,420.5,423.88,413.75,416.0
2016-08-10,415.88,427.5,415.5,421.12
2016-08-09,415.75,419.25,411.75,416.5
2016-08-08,419.5,423.5,411.75,417.0
2016-08-05,404.0,418.5,404.0,415.38
2016-08-04,411.12,416.12,403.75,404.25
2016-08-03,402.75,415.0,401.25,410.0
2016-08-02,405.75,410.5,399.38,400.75
2016-08-01,407.75,415.5,406.75,406.75
2016-07-29,411.12,412.75,403.75,407.25
2016-07-28,415.38,420.0,408.5,409.12
2016-07-27,415.62,421.0,414.25,415.0
2016-07-26,425.38,429.25,414.25,414.88
2016-07-25,428.25,435.25,421.25,429.5
2016-07-22,418.38,426.88,407.25,426.12
2016-07-21,413.5,419.75,409.0,418.25
2016-07-20,418.25,423.75,406.75,412.75
2016-07-19,427.5,428.25,416.5,418.5
2016-07-18,427.75,431.75,420.62,430.25
2016-07-15,434.75,439.75,425.5,425.5
2016-07-14,442.38,448.0,431.38,433.75
2016-07-13,439.38,451.5,437.0,441.0
2016-07-12,431.0,439.25,424.0,437.5
2016-07-11,437.0,441.88,426.75,430.75
2016-07-08,427.25,439.5,424.0,435.5
2016-07-07,430.38,438.75,424.5,425.62
2016-07-06,432.0,434.0,421.25,429.5
2016-07-05,431.25,432.5,416.0,431.5
2016-07-01,445.38,445.5,428.25,430.62
2016-06-30,445.75,453.5,438.0,448.0
2016-06-29,457.88,460.5,444.0,444.25
2016-06-28,458.38,467.25,456.5,458.25
2016-06-27,464.0,470.25,458.5,459.25
2016-06-24,454.5,455.0,442.25,453.25
2016-06-23,459.5,461.5,453.5,454.0
2016-06-22,460.5,465.0,458.5,458.75
2016-06-21,473.25,476.5,458.0,458.12
2016-06-20,477.0,479.75,473.75,473.75
2016-06-17,473.25,482.0,472.75,481.5
2016-06-16,477.38,479.5,471.25,472.5
2016-06-15,482.88,489.75,478.5,478.5
2016-06-14,491.25,493.38,481.5,484.75
2016-06-13,498.25,503.25,491.5,492.0
2016-06-10,509.0,512.5,494.62,495.0
2016-06-09,517.88,519.0,506.25,509.75
2016-06-08,508.75,523.88,506.25,520.0
2016-06-07,506.5,513.5,501.0,509.5
2016-06-06,497.75,514.75,497.75,507.75
2016-06-03,484.0,498.0,482.5,497.75
2016-06-02,474.0,487.0,473.0,485.5
2016-06-01,463.38,474.75,463.38,473.5
2016-05-31,480.62,483.88,463.75,463.75
2016-05-27,481.38,484.75,479.0,481.5
2016-05-26,465.75,481.5,465.5,480.75
2016-05-25,464.0,468.88,463.25,466.25
2016-05-24,462.75,470.0,458.25,464.5
2016-05-23,467.38,469.12,461.25,462.5
2016-05-20,468.75,474.5,464.25,468.25
2016-05-19,478.5,479.75,462.75,469.25
2016-05-18,481.38,484.5,477.25,481.0
2016-05-17,473.5,484.5,473.25,481.5
2016-05-16,473.75,476.75,467.75,475.75
2016-05-13,468.25,477.5,465.0,474.75
2016-05-12,457.62,468.0,457.62,468.0
2016-05-11,461.5,464.75,457.0,459.0
2016-05-10,457.38,468.5,455.5,462.25
2016-05-09,464.0,467.0,455.0,456.25
2016-05-06,462.62,470.25,462.25,464.5
2016-05-05,468.75,472.5,461.88,463.75
2016-05-04,470.75,476.5,469.12,473.0
2016-05-03,487.38,492.75,468.5,472.0
2016-05-02,486.75,490.0,481.5,487.12
2016-04-29,483.75,490.75,480.75,489.25
2016-04-28,483.75,497.0,481.5,485.75
2016-04-27,486.5,489.5,480.5,482.75
2016-04-26,478.12,488.5,474.25,488.25
2016-04-25,473.75,485.38,469.0,476.75
2016-04-22,492.88,493.12,465.62,467.25
2016-04-21,503.5,510.75,491.0,495.88
2016-04-20,485.25,503.75,485.25,503.0
2016-04-19,473.0,487.75,471.25,485.5
2016-04-18,461.0,477.0,460.75,472.5
2016-04-15,459.25,462.25,455.0,460.25
2016-04-14,462.5,465.5,454.5,458.5
2016-04-13,451.75,466.62,450.25,464.25
2016-04-12,447.62,457.0,446.75,453.5
2016-04-11,457.88,457.88,446.25,447.0
2016-04-08,457.5,462.5,456.5,461.5
2016-04-07,463.0,465.25,457.12,457.25
2016-04-06,473.0,473.0,461.75,463.25
2016-04-05,475.0,476.5,470.25,473.5
2016-04-04,476.38,479.0,470.5,474.5
2016-04-01,473.75,475.5,467.0,475.5
2016-03-31,464.0,475.0,455.88,474.5
2016-03-30,476.0,477.5,463.25,464.25
2016-03-29,471.5,477.25,471.0,477.0
2016-03-28,465.25,477.25,464.0,472.0
2016-03-24,463.13,464.38,458.62,463.5
2016-03-23,467.38,467.38,462.62,463.38
2016-03-22,466.25,470.62,463.38,467.38
2016-03-21,468.62,472.0,463.88,466.38
2016-03-18,463.0,463.88,457.88,463.38
2016-03-17,472.13,475.88,460.12,462.38
2016-03-16,476.88,477.12,469.88,470.62
2016-03-15,477.75,479.12,473.12,477.12
2016-03-14,475.63,479.38,472.88,478.62
2016-03-11,476.88,478.38,471.62,475.88
2016-03-10,467.88,477.38,465.13,476.38
2016-03-09,464.62,468.38,461.12,468.12
2016-03-08,461.38,465.62,457.12,465.13
2016-03-07,465.0,468.38,461.88,463.13
2016-03-04,459.63,464.38,456.12,461.38
2016-03-03,449.62,461.88,449.38,459.12
2016-03-02,447.0,451.38,442.38,450.12
2016-03-01,453.38,454.63,445.62,446.12
2016-02-29,455.12,456.38,450.63,452.88
2016-02-26,453.88,456.12,449.13,452.12
2016-02-25,452.25,455.88,449.62,453.12
2016-02-24,455.62,456.12,446.62,451.38
2016-02-23,463.5,465.88,455.38,455.88
2016-02-22,466.38,469.38,458.25,463.88
2016-02-19,461.88,464.5,460.12,461.88
2016-02-18,468.5,468.5,462.12,462.38
2016-02-17,464.5,470.0,462.75,468.88
2016-02-16,460.75,465.0,459.88,464.38
2016-02-12,458.88,462.0,455.13,457.38
2016-02-11,460.38,465.75,457.88,458.38
2016-02-10,458.13,462.75,456.63,461.13
2016-02-09,459.13,460.25,455.13,457.38
2016-02-08,466.25,468.88,457.75,458.38
2016-02-05,473.5,474.13,465.75,466.63
2016-02-04,479.13,482.5,472.63,472.63
2016-02-03,475.63,480.13,474.63,479.88
2016-02-02,475.75,483.0,473.25,475.38
2016-02-01,476.25,477.25,471.38,475.63
2016-01-29,472.25,479.38,470.88,479.38
2016-01-28,476.75,476.88,470.63,472.13
2016-01-27,484.25,485.75,473.63,476.38
2016-01-26,481.63,488.5,478.13,485.13
2016-01-25,475.75,483.75,475.75,481.13
2016-01-22,474.75,479.75,472.63,475.38
2016-01-21,472.38,480.0,470.5,475.38
2016-01-20,473.0,475.38,467.38,471.63
2016-01-19,475.25,478.88,470.63,474.38
2016-01-17,473.38,473.38,473.38,473.38
2016-01-15,469.0,474.63,465.13,473.38
2016-01-14,477.75,477.88,468.13,468.88
2016-01-13,480.25,483.75,476.63,477.88
2016-01-12,470.0,483.13,463.88,481.38
2016-01-11,481.0,481.13,466.63,469.13
2016-01-08,468.13,479.63,467.63,478.38
2016-01-07,463.5,468.88,456.38,468.38
2016-01-06,461.5,465.63,457.0,462.63
2016-01-05,460.38,464.63,458.63,461.38
2016-01-04,472.5,472.5,456.13,458.38
2015-12-31,469.88,472.25,468.88,469.38
2015-12-30,476.38,479.13,469.38,469.63
2015-12-29,467.38,476.63,467.38,475.88
2015-12-28,467.5,472.38,465.88,466.63
2015-12-27,468.0,468.0,468.0,468.0
2015-12-24,468.63,471.63,467.38,468.0
2015-12-23,472.63,474.88,468.38,469.63
2015-12-22,479.5,482.63,471.63,471.63
2015-12-21,485.75,490.88,478.38,479.13
2015-12-18,486.13,498.88,481.38,486.13
2015-12-17,483.5,488.13,472.38,483.88
2015-12-16,493.13,496.75,483.38,483.38
2015-12-15,493.38,497.88,486.38,493.88
2015-12-14,491.38,496.88,488.63,493.38
2015-12-11,494.75,497.88,487.63,490.38
2015-12-10,488.88,497.88,485.63,495.38
2015-12-09,481.63,491.13,481.5,489.63
2015-12-08,481.5,483.63,476.63,481.38
2015-12-07,489.38,492.88,482.13,482.88
2015-12-04,479.25,484.88,478.38,484.63
2015-12-03,466.88,483.88,466.13,478.38
2015-12-02,471.25,473.38,465.63,467.13
2015-12-01,474.63,480.13,470.88,471.38
2015-11-30,476.63,480.38,475.13,475.63
2015-11-27,487.63,487.63,478.13,479.0
2015-11-25,488.38,492.38,487.38,487.63
2015-11-24,496.75,497.13,487.88,488.13
2015-11-23,487.25,499.63,485.88,497.38
2015-11-20,489.38,494.88,486.38,489.13
2015-11-19,483.0,492.75,481.63,490.38
2015-11-18,487.38,490.25,480.63,483.38
2015-11-17,493.5,494.0,484.63,487.75
2015-11-16,494.88,498.0,490.5,493.88
2015-11-13,496.5,499.75,491.63,496.13
2015-11-12,496.0,500.5,492.38,497.63
2015-11-11,491.88,498.0,490.38,495.13
2015-11-10,502.38,503.75,488.13,491.38
2015-11-09,520.38,521.25,501.38,501.63
2015-11-06,524.75,526.0,517.88,522.88
2015-11-05,524.5,529.0,520.38,525.88
2015-11-04,516.13,530.75,508.38,526.38
2015-11-03,507.63,516.63,506.0,516.38
2015-11-02,521.38,522.75,506.88,507.88
2015-10-30,515.25,523.75,515.13,522.13
2015-10-29,505.75,517.25,505.13,515.38
2015-10-28,507.63,508.75,500.13,505.88
2015-10-27,509.88,518.0,506.63,509.13
2015-10-26,493.63,512.0,493.63,509.38
2015-10-23,490.5,494.25,484.88,490.63
2015-10-22,494.75,500.5,490.63,490.88
2015-10-21,491.88,497.5,490.38,494.63
2015-10-20,486.38,491.63,483.63,490.63
