date,open,high,low,close
2018-03-12,488.5,492.75,483.0,490.0
2018-03-09,499.25,499.25,486.0,490.25
2018-03-08,497.5,502.5,490.25,499.25
2018-03-07,506.0,509.75,496.0,497.5
2018-03-06,507.0,507.5,495.5,506.0
2018-03-05,507.75,510.25,495.25,507.0
2018-03-02,516.0,518.5,493.25,499.0
2018-03-01,495.5,517.75,489.5,516.0
2018-02-28,477.5,499.5,476.5,492.5
2018-02-27,473.75,479.0,473.5,477.5
2018-02-26,468.75,476.75,467.75,473.75
2018-02-23,450.75,456.25,450.75,452.0
2018-02-22,447.5,451.75,445.25,450.75
2018-02-21,449.25,452.0,445.5,447.5
2018-02-20,458.0,463.25,449.0,449.25
2018-02-19,458.0,458.0,458.0,458.0
2018-02-18,458.0,458.0,458.0,458.0
2018-02-16,461.5,464.5,456.75,458.0
2018-02-15,455.25,463.5,452.25,461.5
2018-02-14,458.25,460.5,453.75,454.75
2018-02-13,464.25,467.25,459.0,459.25
2018-02-12,452.5,465.0,451.5,464.25
2018-02-09,456.5,456.5,448.25,449.25
2018-02-08,461.0,464.5,451.5,456.5
2018-02-07,446.75,461.75,446.75,461.0
2018-02-06,442.0,447.75,438.75,446.75
2018-02-05,447.0,447.0,438.75,442.0
2018-02-04,447.0,447.0,447.0,447.0
2018-02-02,451.25,451.25,445.0,447.0
2018-02-01,451.5,451.5,443.25,451.25
2018-01-31,458.0,458.75,447.5,451.5
2018-01-30,449.0,458.25,449.0,458.0
2018-01-29,443.5,449.75,443.5,449.0
2018-01-26,434.25,442.5,434.25,442.25
2018-01-25,432.5,438.75,429.5,434.25
2018-01-24,421.75,433.75,420.75,432.5
2018-01-23,425.5,425.5,419.75,421.75
2018-01-22,424.25,427.5,423.25,425.5
2018-01-19,425.5,427.25,421.5,423.25
2018-01-18,421.5,425.75,421.25,424.75
2018-01-17,416.25,423.0,415.5,421.5
2018-01-16,420.75,422.5,413.25,416.25
2018-01-12,433.75,436.0,418.75,420.75
2018-01-11,434.0,434.25,428.75,433.75
2018-01-10,431.75,435.0,431.5,434.0
2018-01-09,427.0,433.75,425.5,431.75
2018-01-08,430.25,432.25,425.75,427.0
2018-01-05,433.5,433.75,427.5,431.0
2018-01-04,435.0,436.0,431.0,433.5
2018-01-03,434.25,437.0,432.0,435.0
2018-01-02,429.5,436.0,429.5,434.25
2017-12-29,426.75,428.0,424.0,427.5
2017-12-28,427.25,428.5,425.25,426.75
2017-12-27,422.25,428.25,420.75,427.25
2017-12-26,424.75,426.75,420.75,422.25
2017-12-22,426.75,429.0,424.5,424.75
2017-12-21,424.0,427.5,423.0,427.0
2017-12-20,419.5,424.5,416.38,423.0
2017-12-19,421.0,424.0,419.5,420.0
2017-12-18,420.75,423.5,419.5,420.75
2017-12-15,419.0,421.5,415.5,418.0
2017-12-14,417.5,420.75,416.25,417.75
2017-12-13,411.5,417.25,411.5,417.25
2017-12-12,413.5,418.75,411.25,411.25
2017-12-11,417.75,418.75,411.0,413.25
2017-12-08,420.5,424.62,418.0,419.0
2017-12-07,425.0,425.75,419.75,421.25
2017-12-06,432.25,433.62,424.75,425.5
2017-12-05,435.5,436.12,431.25,432.0
2017-12-04,439.5,442.75,435.0,435.25
2017-12-01,432.5,438.75,432.25,438.75
2017-11-30,436.0,439.0,430.75,434.38
2017-11-29,429.75,435.5,429.5,434.75
2017-11-28,429.25,431.25,424.5,429.5
2017-11-27,415.5,416.0,409.12,409.12
2017-11-24,420.5,422.0,412.75,416.0
2017-11-22,424.75,426.38,421.0,422.25
2017-11-21,421.75,428.75,420.5,424.5
2017-11-20,427.25,427.25,419.5,422.12
2017-11-17,421.62,428.0,421.5,427.75
2017-11-16,420.75,424.5,419.75,421.5
2017-11-15,427.5,428.25,418.25,419.25
2017-11-14,425.0,429.5,423.5,428.0
2017-11-13,431.75,432.0,422.5,423.75
2017-11-10,430.0,434.25,427.25,431.75
2017-11-09,426.0,432.25,424.25,428.75
2017-11-08,426.75,427.5,419.0,426.5
2017-11-07,429.75,431.0,424.25,427.0
2017-11-06,427.75,431.25,427.5,431.0
2017-11-03,427.5,429.0,422.5,425.25
2017-11-02,418.25,426.5,418.25,425.75
2017-11-01,418.75,422.0,416.62,418.5
2017-10-31,425.5,426.5,416.5,418.5
2017-10-30,426.75,428.0,422.75,425.25
2017-10-27,431.0,431.25,425.25,427.0
2017-10-26,435.5,437.5,431.25,431.75
2017-10-25,438.5,443.0,434.0,435.0
2017-10-24,437.5,438.88,433.25,437.75
2017-10-23,425.75,438.25,424.0,437.25
2017-10-20,433.25,435.75,425.25,425.88
2017-10-19,430.25,436.25,429.75,432.75
2017-10-18,435.0,435.25,429.25,430.0
2017-10-17,436.5,440.75,433.75,434.75
2017-10-16,440.25,442.75,435.75,436.25
2017-10-13,431.25,441.0,430.75,439.75
2017-10-12,433.25,437.75,428.5,430.25
2017-10-11,435.25,435.5,430.0,433.5
2017-10-10,436.38,439.75,434.25,435.88
2017-10-09,445.0,445.75,435.75,436.0
2017-10-06,441.5,444.75,439.0,444.0
2017-10-05,442.75,444.25,438.25,441.25
2017-10-04,449.0,449.25,441.75,442.5
2017-10-03,443.75,450.5,443.5,448.5
2017-10-02,445.0,448.62,439.75,444.75
2017-09-29,455.0,459.0,446.5,448.25
2017-09-28,461.25,462.0,454.12,454.75
2017-09-27,454.0,462.75,449.25,461.5
2017-09-26,454.25,460.75,452.0,453.5
2017-09-25,446.38,454.75,444.25,454.0
2017-09-22,452.5,454.88,448.25,449.5
2017-09-21,451.5,454.5,445.75,452.75
2017-09-20,444.25,450.25,443.0,449.5
2017-09-19,443.0,446.75,435.75,442.75
2017-09-18,448.5,450.88,442.5,444.0
2017-09-15,443.25,450.38,441.0,448.75
2017-09-14,443.75,450.5,442.0,442.0
2017-09-13,443.75,449.75,441.62,444.5
2017-09-12,433.75,443.75,428.5,442.5
2017-09-11,438.5,440.0,432.0,434.5
2017-09-08,437.25,442.0,436.0,437.75
2017-09-07,446.5,446.5,436.0,437.5
2017-09-06,441.25,448.0,440.0,445.75
2017-09-05,440.5,446.75,439.75,443.5
2017-09-01,434.75,440.0,434.12,438.88
2017-08-31,429.62,437.75,429.12,435.5
2017-08-30,433.0,433.5,427.5,429.75
2017-08-29,428.0,429.75,422.75,429.5
2017-08-28,434.0,436.5,426.75,428.75
2017-08-25,409.75,412.75,408.62,410.0
2017-08-24,403.5,411.0,400.75,409.25
2017-08-23,403.62,408.62,401.75,403.12
2017-08-22,410.5,413.0,402.5,403.0
2017-08-21,414.0,418.75,408.75,410.0
2017-08-18,415.25,417.75,412.12,416.25
2017-08-17,420.0,422.25,412.5,414.0
2017-08-16,429.38,435.75,417.25,419.25
2017-08-15,439.88,440.25,428.12,430.0
2017-08-14,435.0,440.5,431.25,440.5
2017-08-11,441.5,444.0,434.62,439.25
2017-08-10,458.25,461.88,439.5,440.25
2017-08-09,456.5,461.5,454.25,459.75
2017-08-08,463.5,468.0,454.75,457.0
2017-08-07,458.5,463.75,454.5,463.75
2017-08-04,457.75,461.38,454.75,455.0
2017-08-03,460.88,463.75,454.5,457.5
2017-08-02,463.12,466.75,456.38,461.0
2017-08-01,472.25,478.0,460.88,461.5
2017-07-31,474.5,480.75,472.0,474.25
2017-07-28,479.5,489.25,478.0,481.25
2017-07-27,479.5,485.5,477.88,480.75
2017-07-26,474.5,480.75,474.25,478.0
2017-07-25,493.0,494.0,474.75,475.12
2017-07-24,495.0,495.88,483.75,488.88
2017-07-21,507.25,510.25,497.75,499.5
2017-07-20,505.25,508.25,495.88,505.62
2017-07-19,504.25,508.88,500.25,503.62
2017-07-18,508.5,517.75,504.5,504.75
2017-07-17,508.0,512.0,503.0,506.5
2017-07-14,513.5,520.5,508.5,510.75
2017-07-13,533.75,534.75,509.62,511.62
2017-07-12,549.5,552.5,535.0,536.5
2017-07-11,556.0,559.25,541.0,553.25
2017-07-10,543.0,553.62,540.75,550.5
2017-07-07,537.25,545.75,530.25,535.25
2017-07-06,558.38,558.88,535.25,538.62
2017-07-05,561.62,574.25,537.0,558.75
2017-07-03,539.62,556.62,536.5,554.38
2017-06-30,498.25,525.75,497.5,525.75
2017-06-29,472.75,498.75,472.75,495.88
2017-06-28,470.0,475.0,468.0,473.25
2017-06-27,466.0,472.5,465.25,469.0
2017-06-26,471.5,474.25,464.0,466.25
2017-06-23,462.25,466.75,459.75,460.0
2017-06-22,465.25,465.25,456.0,461.0
2017-06-21,473.5,473.75,464.38,464.75
2017-06-20,469.5,474.75,463.5,471.75
2017-06-19,461.75,473.25,458.75,467.75
2017-06-16,456.25,468.25,456.0,466.0
2017-06-15,442.12,457.12,437.5,454.75
2017-06-14,444.75,452.25,442.75,443.12
2017-06-13,437.5,446.25,436.75,444.5
2017-06-12,443.25,444.0,431.38,434.0
2017-06-09,447.25,454.0,443.75,445.75
2017-06-08,446.75,455.75,446.62,449.75
2017-06-07,438.0,448.5,438.0,444.75
2017-06-06,430.25,440.75,429.75,435.75
2017-06-05,429.25,433.25,425.75,429.5
2017-06-02,427.75,433.75,426.75,429.25
2017-06-01,429.38,431.25,421.62,429.25
2017-05-31,433.25,436.25,428.5,429.5
2017-05-30,439.0,439.25,426.5,429.38
2017-05-26,430.25,439.0,429.5,438.75
2017-05-25,433.75,436.0,430.25,430.75
2017-05-24,430.0,433.0,427.75,432.5
2017-05-23,434.5,435.75,428.25,429.12
2017-05-22,438.0,442.5,434.75,434.75
2017-05-19,426.25,436.75,426.25,435.5
2017-05-18,428.75,428.75,421.5,426.0
2017-05-17,422.25,432.25,421.75,427.5
2017-05-16,422.5,425.75,420.5,425.0
