"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00014739","BOSTON, MA US","2000-01-15","11.41"," 0748"," 0148","0.00","0.0","3.0",,"18","1",,"  320","  320","0.0","21.9","23.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-01-16","18.34"," 2301"," 2239","0.00","0.5","2.0","28","41","14",,"  300","  300","0.0","32.0","40.9","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00014739","BOSTON, MA US","2000-01-17","24.16"," 0659"," 0832","0.00","0.0","0.0","9","17","0",,"  300","  310","0.0","38.9","48.1",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-01-18","12.30"," 0010"," 2356","0.00","0.0","0.0","13","22","3",,"  300","  290","0.0","23.0","30.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-01-19","9.62"," 1910"," 1921","0.00","0.0","0.0","14","21","7",,"  310","  310","0.0","14.1","16.1",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-01-20","11.63"," 2328"," 2319","0.00","3.2","0.0","18","22","13",,"  350","  350","0.0","25.1","30.0","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-01-21","23.49"," 1800"," 1613","0.02","0.4","4.0","12","19","4",,"  290","  300","0.0","36.9","53.9","    1",,,,,,,,"    1",,,"    1",,,"    1",,"    1",,,
"USW00014739","BOSTON, MA US","2000-01-22","21.70"," 1413"," 1412","0.00","0.0","2.0","8","14","2",,"  290","  280","0.0","31.1","40.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-01-23","6.49"," 0017"," 0013","0.00","0.0","1.0","15","22","7",,"  270","  270","0.0","17.0","23.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-01-24","5.59"," 0603"," 0610","0.00","0.0","1.0","26","32","20",,"  310","  310","0.0","13.0","14.1",,,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-01-25","19.01"," 1225"," 1224","0.49","3.5","0.0","30","35","24",,"   30","   40","0.0","36.0","40.0","    1","    1",,"    1",,"    1",,,,,,"    1",,"    1","    1","    1","    1",,,"    1"
"USW00014739","BOSTON, MA US","2000-01-26","12.75"," 2310"," 2309","0.01","0.0","3.0","27","32","21",,"  320","  310","0.0","17.9","23.0","    1",,,,,"    1",,"    1",,,,"    1",,,"    1","    1","    1",,,
"USW00014739","BOSTON, MA US","2000-01-27","16.33"," 2007"," 2007","0.00","0.0","3.0","15","22","7",,"  290","  300","0.0","25.1","29.1",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-01-28","16.33"," 1824"," 2124","0.00","0.0","3.0","12","19","5",,"  300","  310","0.0","23.0","30.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-01-29","9.84"," 2357"," 0057","0.00","0.0","3.0","23","33","12",,"  290","  270","0.0","21.0","25.1",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-01-30","5.59"," 0945"," 0945","0.00","0.0","0.0","33","47","18",,"  280","  270","0.0","14.1","21.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-01-31","14.54"," 1919"," 1919","0.21","0.5","2.0","34","38","30",,"  270","  280","0.0","25.1","32.0","    1",,,,,,,"    1",,,,"    1","    1",,"    1",,"    1",,,
"USW00014739","BOSTON, MA US","2000-02-01","14.99"," 1418"," 2043","0.00","0.0","2.0","31","35","26",,"  270","  270","0.0","23.0","28.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-02-02","17.45"," 1012"," 1011","0.00","0.0","2.0","24","29","18",,"  300","  290","0.0","30.0","34.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-02-03","10.74"," 0731"," 0659","0.00","0.1","2.0","23","30","15",,"  270","  270","0.0","19.9","23.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-02-04","6.93"," 1235"," 1222","0.01","0.1","2.0","25","28","22",,"   10","   20","0.0","15.0","17.0","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00014739","BOSTON, MA US","2000-02-05","12.30"," 2330"," 1639","0.01","0.3","2.0","30","35","25",,"  240","  280","0.0","21.0","25.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-02-06","16.11"," 1208"," 1048","0.00","0.0","2.0","29","33","24",,"  280","  300","0.0","28.0","40.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-02-07","17.22"," 1510"," 1305","0.00","0.0","2.0","31","42","20",,"  270","  260","0.0","28.0","34.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-02-08","11.18"," 2347"," 0003","0.00","0.0","1.0","21","28","13",,"  220","  330","0.0","17.9","23.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-02-09","19.01"," 1155"," 1147","0.00","0.0","1.0","33","45","21",,"  230","  220","0.0","32.0","38.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-02-10","10.74"," 1127"," 1126","0.00","0.0","0.0","38","44","31",,"   60","   60","0.0","21.0","25.1","    1",,,,,,,"    1",,,,"    1",,,,,,,,
"USW00014739","BOSTON, MA US","2000-02-11","8.95"," 2348"," 2339","0.05","0.0","0.0","36","44","28",,"  320","  320","0.0","23.9","31.1","    1","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-02-12","10.29"," 0222"," 0417","0.00","0.0","0.0","27","32","21",,"  320","  320","0.0","21.0","25.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-02-13","6.93"," 1915"," 1855","0.00","0.0","0.0","28","36","19",,"  190","  180","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-02-14","12.30"," 1217"," 1222","0.98","0.0","0.0","45","57","32",,"  210","  210","0.0","40.0","53.9","    1",,,,,"    1",,"    1",,,,"    1",,,"    1","    1",,,,
"USW00014739","BOSTON, MA US","2000-02-15","12.53"," 0848"," 0848","0.00","0.0","0.0","38","44","32",,"  320","  330","0.0","29.1","34.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-02-16","12.53"," 1521"," 1521","0.01","0.2","0.0","39","49","28",,"  220","  210","0.0","30.0","34.0","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-02-17","14.09"," 1030"," 1029","0.00","0.0","0.0","29","37","20",,"  310","  320","0.0","25.9","30.0","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-02-18","10.96"," 2107"," 2113","0.57","6.5","0.0","27","33","20",,"   80","   70","0.0","30.0","32.0","    1",,,"    1",,,,,,,,"    1",,,,,"    1",,,"    1"
"USW00014739","BOSTON, MA US","2000-02-19","12.53"," 1624"," 1238","0.10","1.5","7.0","29","33","24",,"   30","   30","0.0","19.9","23.9","    1",,,"    1",,,,,,,,"    1",,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-02-20","10.29"," 1635"," 1525","0.01","0.5","8.0","33","37","29",,"  270","  280","0.0","23.0","29.1","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-02-21","9.84"," 1246"," 1525","0.00","0.0","6.0","34","40","28",,"  270","  270","0.0","17.9","23.9",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON, MA US","2000-02-22","7.83"," 1203"," 1156","0.00","0.0","4.0","34","44","24",,"  230","  240","0.0","15.0","17.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-02-23","12.75"," 1342"," 1158","0.00","0.0","3.0","42","52","32",,"  240","  210","0.0","25.1","30.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-02-24","5.82"," 0225"," 0227","0.05","0.0","0.0","52","61","43",,"  240","  230","0.0","13.0","15.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-02-25","14.99"," 1634"," 0401","0.49","0.0","0.0","42","47","36",,"   80","   30","0.0","21.9","29.1","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-02-26","10.96"," 0438"," 0430","0.03","0.0","0.0","39","41","36",,"   70","   80","0.0","19.9","23.0","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-02-27","7.61"," 1519"," 1546","0.00","0.0","0.0","50","61","39",,"  220","  210","0.0","21.0","23.0","    1","    1",,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-02-28","15.43"," 1841"," 1840","0.24","0.0","0.0","47","55","39",,"  290","  280","0.0","23.0","29.1","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-02-29","17.90"," 0938"," 0937","0.00","0.0","0.0","42","49","35",,"  320","  330","0.0","25.9","36.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-01","8.50"," 1606"," 2136","0.00","0.0","0.0","42","45","38",,"  110","  170","0.0","15.0","21.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-02","14.76"," 1501"," 1410","0.01","0.0","0.0","44","49","38",,"  260","  270","0.0","25.1","32.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-03","19.01"," 2204"," 2129","0.00","0.0","0.0","41","47","34",,"  320","  310","0.0","28.0","36.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-04","13.65"," 2356"," 0005","0.00","0.0","0.0","43","53","33",,"  300","  310","0.0","23.0","32.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-05","12.30"," 1457"," 1612","0.00","0.0","0.0","45","51","39",,"  320","  310","0.0","25.9","32.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-06","14.09"," 0817"," 0816","0.00","0.0","0.0","42","49","35",,"  310","  310","0.0","25.9","32.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-07","8.95"," 1610"," 1608","0.00","0.0","0.0","48","62","33",,"  250","  260","0.0","17.9","23.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-08","10.29"," 1542"," 1539","0.00","0.0","0.0","44","48","40",,"  110","  110","0.0","19.9","21.9",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-09","12.30"," 2210"," 2210","0.01","0.0","0.0","57","72","41",,"  300","  300","0.0","23.9","31.1",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-10","14.32"," 0524"," 0524","0.00","0.0","0.0","47","57","36",,"  320","  320","0.0","25.1","32.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-11","14.54"," 1831"," 1831","0.88","0.0","0.0","38","40","36",,"   90","   90","0.0","28.0","30.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-12","11.86"," 2345"," 2344","0.55","0.0","0.0","38","41","34",,"  320","  320","0.0","32.0","40.0","    1",,,,,,,,,,,"    1","    1",,"    1",,"    1",,,
"USW00014739","BOSTON, MA US","2000-03-13","13.20"," 1259"," 1258","0.00","0.0","0.0","36","41","31",,"  280","  260","0.0","23.9","31.1",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-14","11.18"," 1604"," 1703","0.00","0.0","0.0","41","53","28",,"  200","  210","0.0","23.0","28.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-15","12.75"," 2155"," 2015","0.00","0.0","0.0","48","61","35",,"  210","  210","0.0","21.0","25.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-16","15.43"," 1403"," 1414","0.20","0.0","0.0","56","71","40",,"  240","  250","0.0","29.1","38.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-17","20.80"," 0534"," 0534","0.77","2.0","0.0","31","40","22",,"   30","   30","0.0","34.0","38.9","    1",,,"    1",,,,,,,,"    1",,,"    1",,"    1",,,"    1"
"USW00014739","BOSTON, MA US","2000-03-18","11.41"," 0755"," 0121","0.00","0.0","2.0","24","32","16",,"  360","  340","0.0","19.9","25.1",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-19","11.41"," 1400"," 1312","0.00","0.0","0.0","31","37","25",,"   80","   70","0.0","17.9","21.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-20","13.20"," 2309"," 2308","0.00","0.0","0.0","36","40","32",,"   60","   50","0.0","17.9","21.9","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-21","14.32"," 1326"," 1335","0.00","0.0","0.0","38","40","35",,"   60","   40","0.0","21.9","25.1","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-22","11.41"," 1133"," 1202","0.00","0.0","0.0","40","44","36",,"   50","   60","0.0","17.9","21.0","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-23","5.14"," 1418"," 2233","0.00","0.0","0.0","42","52","32",,"  120","  320","0.0","15.0","16.1","    1",,,,,,,,,,,"    1",,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-24","10.29"," 1258"," 1257","0.00","0.0","0.0","48","52","43",,"  110","  110","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-25","8.95"," 1609"," 1529","0.00","0.0","0.0","50","64","35",,"  210","  210","0.0","23.9","29.1",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-26","12.97"," 1623"," 1446","0.00","0.0","0.0","55","64","46",,"  290","  270","0.0","23.0","30.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-27","10.74"," 1747"," 1747","0.00","0.0","0.0","50","59","40",,"  200","  200","0.0","21.0","23.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-28","18.79"," 0913"," 1724","1.00","0.0","0.0","51","57","45",,"  180","  260","0.0","36.0","42.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-29","15.43"," 1244"," 1244","0.17","0.0","0.0","51","57","44",,"  260","  260","0.0","30.0","36.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-03-30","13.20"," 2359"," 0018","0.00","0.0","0.0","47","51","42",,"  270","  270","0.0","25.1","30.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-03-31","8.95"," 1724"," 1802","0.00","0.0","0.0","46","54","38",,"  310","  310","0.0","17.0","21.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-04-01","9.40"," 1157"," 1156","0.00","0.0","0.0","50","61","39",,"  250","  250","0.0","17.0","21.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-04-02","13.42"," 1743"," 1743","0.00","0.0","0.0","57","68","46",,"  220","  220","0.0","25.9","32.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-04-03","6.93"," 1558"," 1633","0.00","0.0","0.0","51","56","45",,"   60","   70","0.0","14.1","16.1","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-04","13.42"," 0729"," 0828","0.26","0.0","0.0","55","66","43",,"  210","  220","0.0","28.0","34.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-05","20.58"," 1732"," 1800","0.00","0.0","0.0","46","53","39",,"  270","  270","0.0","30.0","36.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-04-06","10.96"," 0906"," 0158","0.02","0.0","0.0","48","58","37",,"  230","  250","0.0","21.9","25.9",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-07","11.18"," 0800"," 0724","0.00","0.0","0.0","54","62","45",,"  260","  270","0.0","19.9","25.1",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-04-08","18.79"," 1438"," 1841","0.14","0.0","0.0","60","75","45",,"  200","  200","0.0","38.0","47.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-09","25.50"," 0926"," 0721","0.51","0.0","0.0","48","61","34",,"  170","  160","0.0","40.9","49.0","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00014739","BOSTON, MA US","2000-04-10","19.46"," 1409"," 0031","0.00","0.0","0.0","44","51","37",,"  270","  240","0.0","29.1","38.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-04-11","9.17"," 2236"," 1535","0.07","0.0","0.0","41","46","35",,"  110","  190","0.0","16.1","19.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-12","13.20"," 1732"," 1708","0.01","0.0","0.0","43","49","36",,"  320","  310","0.0","25.1","33.1","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-13","10.29"," 1046"," 1045","0.00","0.0","0.0","42","50","34",,"  350","  340","0.0","23.9","30.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-04-14","15.43"," 1527"," 1239","0.00","0.0","0.0","46","56","35",,"  200","  200","0.0","25.9","31.1",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-04-15","15.43"," 1829"," 1539","0.00","0.0","0.0","57","70","44",,"  220","  220","0.0","23.9","30.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-04-16","5.37"," 1303"," 1307","0.12","0.0","0.0","56","65","47",,"   60","   60","0.0","21.0","23.0","    1","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-17","14.09"," 1039"," 1106","0.00","0.0","0.0","44","48","39",,"   70","   80","0.0","21.9","23.9",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-18","17.90"," 0859"," 0858","0.45","0.0","0.0","43","45","40",,"   60","   70","0.0","25.1","30.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-19","17.00"," 2000"," 1959","0.25","0.0","0.0","42","43","41",,"   30","   30","0.0","23.0","25.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-20","7.16"," 0207"," 0206","0.01","0.0","0.0","48","54","41",,"   30","   20","0.0","16.1","17.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-21","13.65"," 2030"," 2039","1.02","0.0","0.0","45","47","42",,"   90","   90","0.0","25.9","31.1","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-22","19.24"," 0326"," 0322","1.50","0.0","0.0","44","46","42",,"   90","   90","0.0","40.9","48.1","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-23","11.41"," 2225"," 0026","0.24","0.0","0.0","45","48","42",,"  290","  360","0.0","17.0","21.9","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-24","14.99"," 1701"," 1703","0.00","0.0","0.0","47","52","42",,"  330","  320","0.0","23.9","32.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-04-25","17.00"," 2307"," 2242","0.00","0.0","0.0","43","47","38",,"   70","   50","0.0","28.0","34.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-04-26","17.00"," 0306"," 0410","0.41","0.0","0.0","38","41","35",,"   50","   50","0.0","30.0","36.0","    1",,,"    1",,,,,,,,"    1",,,"    1",,"    1",,,
"USW00014739","BOSTON, MA US","2000-04-27","7.16"," 2110"," 1616","0.01","0.0","0.0","44","50","37",,"  210","  280","0.0","13.0","15.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-28","8.05"," 1216"," 0713","0.00","0.0","0.0","47","53","41",,"  230","  250","0.0","16.1","19.9",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-29","5.59"," 1047"," 1059","0.00","0.0","0.0","45","51","39",,"   90","   90","0.0","13.0","14.1",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-04-30","12.75"," 1504"," 1047","0.00","0.0","0.0","54","60","47",,"  310","  360","0.0","25.9","33.1",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-05-01","11.18"," 1600"," 1607","0.00","0.0","0.0","54","65","42",,"  200","  200","0.0","19.9","25.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-05-02","9.84"," 1633"," 1548","0.17","0.0","0.0","56","65","46",,"  320","  340","0.0","21.0","25.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-05-03","10.96"," 1533"," 1533","0.00","0.0","0.0","51","59","43",,"  120","  120","0.0","21.9","23.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-05-04","14.54"," 1731"," 1718","0.00","0.0","0.0","57","69","44",,"  200","  200","0.0","25.1","31.1",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-05-05","10.74"," 0136"," 1412","0.00","0.0","0.0","68","81","55",,"  220","  260","0.0","19.9","21.9",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-05-06","9.62"," 0542"," 0540","0.01","0.0","0.0","60","69","50",,"   70","   70","0.0","17.9","23.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-05-07","10.74"," 1758"," 1757","0.00","0.0","0.0","71","91","50",,"  250","  250","0.0","23.9","32.0","    1",,,,,,,"    1",,,,"    1",,,,,,,,
"USW00014739","BOSTON, MA US","2000-05-08","10.29"," 1518"," 1514","0.05","0.0","0.0","71","86","56",,"  100","  100","0.0","23.9","28.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-05-09","10.96"," 1357"," 1357","0.00","0.0","0.0","56","65","47",,"   60","   50","0.0","25.9","30.0","    1","    1",,,,,,"    1",,,,"    1",,,,,,,"    1",
"USW00014739","BOSTON, MA US","2000-05-10","16.33"," 1355"," 0441","0.61","0.0","0.0","48","50","46",,"   80","   90","0.0","25.1","31.1","    1",,"    1",,,,,,,,,"    1","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-05-11","10.29"," 0041"," 0044","0.02","0.0","0.0","55","66","44",,"   30","   30","0.0","23.0","25.1",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-05-12","9.40"," 1303"," 1412","0.00","0.0","0.0","59","67","50",,"  110","  120","0.0","19.9","21.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2000-05-13","10.07"," 1302"," 1306","0.26","0.0","0.0","54","59","49",,"  110","  100","0.0","19.9","21.9","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2000-05-14","9.17"," 2109"," 2108","0.09","0.0","0.0","60","70","50",,"  300","  300","0.0","21.9","28.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,
