"","Time","pos_count","neu_count","neg_count","price"
"206","02/2018",4328,32483,1657,43.220001
"207","03/2018",4458,32966,1642,43.43
"208","04/2018",4219,31438,1541,43.209999
"209","05/2018",4327,32088,1576,43
"210","06/2018",5530,40648,2280,43.860001
"211","07/2018",4940,36360,1924,46.630001
"212","08/2018",5319,39097,2154,44.57
"213","09/2018",5684,41829,2343,46.189999
"214","10/2018",5766,42445,2409,47.880001
"215","11/2018",5771,42506,2400,50.400002
"216","12/2018",5633,41421,2312,47.349998
"217","01/2019",5373,39311,2161,48.130001
"218","02/2019",5039,36613,1977,45.34
"219","03/2019",4001,29257,1531,46.860001
"220","04/2019",4355,31324,1636,49.060001
"221","05/2019",4109,29669,1540,49.130001
"222","06/2019",4344,34308,1949,50.919998
"223","07/2019",4037,30390,1636,52.630001
"224","08/2019",4180,32346,1795,55.040001
"225","09/2019",4622,36459,2117,54.439999
"226","10/2019",4506,36034,2084,54.43
"227","11/2019",4602,36798,2143,53.400002
"228","12/2019",4622,36459,2117,55.349998
