"","month","POS","NEU","NEG","price"
"1",1,762,5613,395,29
"2",2,716,6139,683,26.514999
"3",3,1307,7479,325,22.58
"4",4,1710,7677,573,23.094999
"5",5,1499,5051,318,23.700001
"6",6,675,5326,690,22.5
"7",7,1079,6874,218,22.299999
"8",8,945,6382,264,24.334999
"9",9,1134,7559,234,23.424999
"10",10,644,7503,416,23.940001
"11",11,674,5056,208,23.48
"12",12,1735,8014,655,23.575001
"13",13,1737,7411,300,21.875
"14",14,918,6438,671,23.695
"15",15,1106,5023,390,26.129999
"16",16,589,8825,550,27.754999
"17",17,1917,7012,404,27.780001
"18",18,1653,6859,614,28
"19",19,1284,6192,682,24.969999
"20",20,611,5624,498,25.5
"21",21,1263,7122,570,23.98
"22",22,1816,6805,340,23.24
"23",23,699,6189,476,22.82
"24",24,1493,8728,317,21.92
"25",25,992,5708,608,20.23
"26",26,1322,7184,642,20.110001
"27",27,1680,5758,571,20.24
"28",28,1879,7362,692,20.200001
"29",29,1504,8811,693,22.785
"30",30,1732,5361,604,23.205
"31",31,1921,6409,397,22.485001
"32",32,950,7412,681,21.76
"33",33,1165,8736,352,21.48
"34",34,620,6497,648,23.200001
"35",35,1990,6679,241,23.25
"36",36,996,6370,565,25.375
"37",37,1047,6299,512,24.620001
"38",38,1566,8429,585,24.98
"39",39,1452,8450,646,25.15
"40",40,916,8769,621,25.285
"41",41,654,6407,211,25.674999
"42",42,657,6782,577,25.24
"43",43,649,5581,540,21.93
"44",44,575,5120,336,22.355
"45",45,1386,7098,280,20.025
"46",46,1569,6891,288,20.33
"47",47,1244,6500,344,19.655001
"48",48,823,8436,619,20.82
"49",49,557,5189,494,20.745001
"50",50,1293,7421,675,21.4
"51",51,500,7580,522,20.834999
"52",52,730,8001,249,21.719999
"53",53,800,6163,269,22.315001
"54",54,1837,6616,293,20.875
"55",55,1675,5372,329,21.879999
"56",56,1635,8227,392,22
"57",57,1202,8469,424,21.594999
"58",58,1954,7928,343,21.389999
"59",59,1236,6796,622,21.344999
"60",60,1782,8800,361,20.155001
"61",61,1328,6901,364,20.690001
"62",62,1962,8298,677,20.985001
"63",63,1212,8901,243,20.934999
"64",64,1958,7634,545,20.98
"65",65,1230,6512,426,22.014999
"66",66,608,8171,354,21.51
"67",67,1844,8016,371,22.25
"68",68,1129,6565,443,22.405001
"69",69,1904,8624,563,22.34
"70",70,813,5872,335,23.360001
"71",71,1856,6035,679,23.415001
"72",72,673,5445,326,24.125
"73",73,1739,12178,578,23.940001
"74",74,1616,11245,529,23.34
"75",75,1598,11093,515,24
"76",76,1741,12066,532,26.094999
"77",77,1926,13389,569,26.495001
"78",78,2052,14314,594,26.155001
"79",79,2216,15595,625,26.055
"80",80,2259,15963,628,26.889999
"81",81,2238,15799,616,28.735001
"82",82,2105,14676,569,30.879999
"83",83,1944,13308,518,31.049999
"84",84,1775,11862,470,30.684999
"85",85,1633,10653,435,29.5
"86",86,1554,9993,426,29.23
"87",87,1566,10124,449,30.434999
"88",88,1709,11383,523,29.434999
"89",89,1919,13112,605,28.629999
"90",90,2146,14778,669,25.99
"91",91,2374,16140,698,25.75
"92",92,2554,16972,697,26.035
"93",93,2681,17393,686,26.440001
"94",94,2737,17450,681,22.030001
"95",95,2747,17292,686,23.434999
"96",96,2734,17061,703,22.635
"97",97,2722,16905,736,21.360001
"98",98,2736,16974,786,20.424999
"99",99,2819,17532,869,21.975
"100",100,2937,18337,945,21.525
"101",101,3115,19587,1041,24.58
"102",102,3291,20905,1124,23.995001
"103",103,3440,22255,1183,24.92
"104",104,3463,22729,1182,24.385
"105",105,3423,22946,1149,26.85
"106",106,3286,22574,1078,26.655001
"107",107,3195,22130,1042,28.6
"108",108,3058,21308,999,28.5
"109",109,2940,20481,970,27.125
"110",110,2867,19869,959,26.360001
"111",111,2866,19690,971,27.5
"112",112,3043,20657,1039,26.725
"113",113,3176,21495,1081,25.700001
"114",114,3485,23539,1175,25.059999
"115",115,3975,27018,1325,27.555
"116",116,4100,27987,1365,27.940001
"117",117,4291,29604,1429,29.26
"118",118,4364,30587,1455,30.66
"119",119,4331,30446,1443,31.584999
"120",120,4183,29546,1387,32.884998
"121",121,3982,28215,1314,31.424999
"122",122,3787,26901,1250,31.959999
"123",123,3656,26052,1219,33.169998
"124",124,3749,26983,1314,33.73
"125",125,3816,27529,1353,33.404999
"126",126,4152,30222,1531,33.645
"127",127,4728,34963,1783,34.005001
"128",128,4762,35274,1790,35.224998
"129",129,4700,35189,1664,33.779999
"130",130,4671,34972,1646,34.16
"131",131,4445,33103,1537,33.615002
"132",132,4171,30672,1437,34.985001
"133",133,3904,28165,1357,33.764999
"134",134,3694,26068,1304,34.93
"135",135,3655,25015,1318,37.005001
"136",136,3659,25042,1320,38.16
"137",137,3910,26828,1399,37.365002
"138",138,4614,32219,1615,39.095001
"139",139,4602,32127,1611,40.400002
"140",140,4838,33905,1691,37.400002
"141",141,4873,34357,1720,37.93
"142",142,4888,34441,1724,37.18
"143",143,4686,33270,1660,37.919998
"144",144,4380,31460,1555,36.25
"145",145,4037,29394,1432,37.240002
"146",146,3725,27457,1313,38.720001
"147",147,3479,25560,1180,40.439999
"148",148,3459,25509,1180,42.330002
"149",149,1318,11729,512,39.990002
"150",150,984,8849,315,40.110001
"151",151,999,9006,328,40.080002
"152",152,971,8533,282,38.18
"153",153,1042,8799,283,37.880001
"154",154,1174,9552,316,39.57
"155",155,1329,10537,367,40.189999
"156",156,1564,12312,474,41.310001
"157",157,1554,12190,465,37.82
"158",158,1552,12374,484,38.200001
"159",159,1312,11332,459,38.66
"160",160,1358,11562,466,40.790001
"161",161,1246,10990,448,40.91
"162",162,1115,10296,439,42.360001
"163",163,1118,10298,434,39.290001
"164",164,1127,10391,449,41.720001
"165",165,1181,10771,478,42.66
"166",166,1254,11270,511,41.880001
"167",167,1321,11716,537,44.830002
"168",168,1278,11394,501,42.220001
"169",169,1331,11759,528,41.169998
"170",170,1223,11018,474,43.299999
"171",171,762,7737,263,40.549999
"172",172,859,8467,305,40.560001
"173",173,728,7452,249,40.959999
"174",174,712,6703,245,39.23
"175",175,689,6740,238,41.080002
"176",176,721,6695,247,39.32
"177",177,753,6669,246,40.119999
"178",178,778,6649,240,42.349998
"179",179,793,6637,230,42.619999
"180",180,745,6641,221,42.959999
"181",181,777,6633,218,42.919998
"182",182,738,6643,222,43.130001
"183",183,585,6642,270,46.389999
"184",184,620,6660,255,44.799999
"185",185,584,6640,271,44.599998
"186",186,787,6316,250,45.330002
"187",187,654,6477,271,43.630001
"188",188,787,6316,250,43.43
"189",189,1951,5059,460,42.32
"190",190,1103,8357,224,42.400002
"191",191,979,5311,250,40.349998
"192",192,625,7052,359,42
"193",193,1285,5102,367,41.57
"194",194,983,7423,362,41.959999
"195",195,824,5035,521,42.439999
"196",196,1284,8625,300,43.150002
"197",197,1401,5026,511,45.470001
"198",198,924,6947,326,44.849998
"199",199,1498,8605,599,45.84
"200",200,1166,7741,624,45.549999
"201",201,1063,8157,576,45.009998
"202",202,1412,6400,435,45.98
"203",203,1490,7942,412,45.77
"204",204,577,8424,324,45.880001
"205",205,651,7902,318,47.59
"206",206,1366,8086,574,43.220001
"207",207,1975,8585,214,43.43
"208",208,1883,5882,606,43.209999
"209",209,1004,8303,273,43
"210",210,1297,5312,398,43.860001
"211",211,1070,6929,265,46.630001
"212",212,626,6166,458,44.57
"213",213,1431,5184,502,46.189999
"214",214,747,7937,466,47.880001
"215",215,1603,5323,363,50.400002
"216",216,666,7617,255,47.349998
"217",217,1100,5952,321,48.130001
"218",218,991,7457,525,45.34
"219",219,1075,5036,424,46.860001
"220",220,743,5142,467,49.060001
"221",221,1782,6830,623,49.130001
"222",222,1698,7338,450,50.919998
"223",223,1436,6040,278,52.630001
"224",224,1982,6629,537,55.040001
"225",225,1387,7209,208,54.439999
"226",226,1421,5847,315,54.43
"227",227,615,7380,366,53.400002
"228",228,785,6302,299,55.349998
