"","Time","pos_count","neu_count","neg_count","price"
"156","12/2013",1352,14677,350,35.16
"157","01/2014",1335,13974,342,33.32
"158","02/2014",1361,13275,349,31.93
"159","03/2014",1586,12931,434,35.07
"160","04/2014",1523,12730,409,35.700001
"161","05/2014",1652,13289,461,35.470001
"162","06/2014",1899,16145,577,35.360001
"163","07/2014",1881,15565,563,35.59
"164","08/2014",1889,16459,579,34.959999
"165","09/2014",1603,16750,509,35.240002
"166","10/2014",1682,16888,531,34.84
"167","11/2014",1566,16639,499,35.380001
"168","12/2014",1488,16220,477,33.59
"169","01/2015",1444,15717,465,32.919998
"170","02/2015",1429,15209,462,34.560001
"171","03/2015",1496,14451,493,32.650002
"172","04/2015",1465,14503,479,34.639999
"173","05/2015",1505,14468,497,34.540001
"174","06/2015",1696,16164,571,35.52
"175","07/2015",1622,15350,547,34.740002
"176","08/2015",1711,16335,575,33.439999
"177","09/2015",1822,17635,605,32.580002
"178","10/2015",2149,20308,670,33.509998
"179","11/2015",2058,19954,655,33.669998
"180","12/2015",2154,20305,671,34.41
"181","01/2016",2220,19807,677,36.060001
"182","02/2016",2265,18722,680,36.950001
"183","03/2016",2405,15510,727,39.169998
"184","04/2016",2343,16224,698,38.82
"185","05/2016",2401,15527,725,39.150002
"186","06/2016",2556,17938,831,43.209999
"187","07/2016",2549,16393,812,43.290001
"188","08/2016",2561,17743,831,40.880001
"189","09/2016",2185,22227,703,40.610001
"190","10/2016",2347,21092,762,36.790001
"191","11/2016",2207,22138,711,38.630001
"192","12/2016",2114,22153,678,40.380001
"193","01/2017",2076,21267,666,42.16
"194","02/2017",2085,19855,671,41.790001
"195","03/2017",2353,16199,733,41.549999
"196","04/2017",2213,16965,706,39.630001
"197","05/2017",2316,16241,727,38.529999
"198","06/2017",2667,18985,762,37.73
"199","07/2017",2548,17410,754,39
"200","08/2017",2641,18582,760,37.459999
"201","09/2017",2661,19691,787,39.169998
"202","10/2017",2700,19861,770,33.650002
"203","11/2017",2678,19832,780,36.380001
"204","12/2017",2638,19437,799,38.880001
"205","01/2018",2593,18823,826,37.450001
"206","02/2018",2553,18213,856,36.299999
"207","03/2018",2606,19532,922,35.650002
"208","04/2018",2527,17909,909,32.700001
"209","05/2018",2563,18666,922,32.32
"210","06/2018",3070,26412,912,32.110001
"211","07/2018",2775,22697,906,31.969999
"212","08/2018",2943,25123,901,31.940001
"213","09/2018",3402,26232,1011,33.580002
"214","10/2018",3325,27592,972,30.68
"215","11/2018",3427,27196,1010,31.24
"216","12/2018",3365,25734,1002,28.540001
"217","01/2019",3115,23405,932,30.059999
"218","02/2019",2756,20720,823,31.120001
"219","03/2019",1956,17056,548,31.360001
"220","04/2019",2060,16473,600,30.959999
"221","05/2019",1901,16004,542,30.58
"222","06/2019",3288,28706,921,33.509998
"223","07/2019",2341,20683,651,34.049999
"224","08/2019",2838,24942,791,35.259998
"225","09/2019",3514,30605,1019,37.84
"226","10/2019",3638,31623,1027,38.490002
"227","11/2019",3725,32355,1063,37.380001
"228","12/2019",3514,30605,1019,39.080002
