MJD,i_mag,err
5684.49897,17.534,0.014
5685.47151,17.545,0.016
5686.47240,17.475,0.011
5687.47315,17.509,0.015
5691.46609,17.560,0.017
5692.51454,17.552,0.021
5694.48270,17.554,0.017
5695.46712,17.555,0.015
5696.47554,17.542,0.019
5697.46544,17.520,0.015
5699.47498,17.586,0.023
5700.46657,17.536,0.018
5702.46345,17.553,0.016
5706.46316,17.583,0.018
5709.45026,17.627,0.028
5784.92370,17.670,0.013
5795.92971,17.662,0.015
5803.87503,17.603,0.012
5805.83952,17.611,0.012
5806.89051,17.611,0.011
5809.85177,17.590,0.010
5810.85488,17.576,0.013
5812.84768,17.554,0.011
5814.86450,17.573,0.013
5815.87614,17.547,0.011
5816.85027,17.567,0.017
5817.85088,17.547,0.012
5818.87997,17.545,0.013
5819.83395,17.547,0.011
5820.90139,17.534,0.011
5822.82161,17.521,0.011
5823.89647,17.521,0.012
5824.81845,17.557,0.011
5825.80671,17.545,0.010
5826.85519,17.565,0.011
5827.84916,17.552,0.010
5828.87537,17.556,0.010
5829.84877,17.543,0.009
5830.84034,17.543,0.010
5831.83201,17.541,0.009
5832.82143,17.551,0.010
5833.80579,17.579,0.011
5834.80672,17.559,0.010
5835.86663,17.570,0.011
5836.77315,17.575,0.010
5837.85248,17.591,0.011
5839.83412,17.587,0.011
5840.81709,17.612,0.011
5841.81411,17.610,0.012
5842.83227,17.572,0.014
5843.84776,17.620,0.011
5845.86277,17.674,0.019
5846.82324,17.659,0.021
5850.78710,17.691,0.012
5851.79616,17.703,0.013
5852.77989,17.676,0.016
5853.84963,17.688,0.017
5854.75494,17.678,0.012
5855.82465,17.693,0.010
5856.79623,17.665,0.016
5857.78056,17.690,0.015
5858.83042,17.659,0.017
5859.79898,17.681,0.012
5860.78404,17.692,0.012
5861.79303,17.648,0.012
5863.79496,17.700,0.011
5864.70352,17.660,0.011
5865.77310,17.666,0.013
5866.79723,17.641,0.011
5867.73612,17.645,0.011
5868.83759,17.629,0.010
5869.80310,17.632,0.010
5870.74291,17.606,0.011
5871.72900,17.607,0.011
5872.73836,17.594,0.010
5873.73358,17.616,0.012
5874.76714,17.596,0.013
5875.70307,17.585,0.014
5878.75284,17.538,0.018
5879.68810,17.562,0.015
5880.73955,17.543,0.011
5880.79057,17.577,0.015
5881.72615,17.543,0.011
5882.75693,17.513,0.010
5883.76090,17.543,0.013
5885.69217,17.560,0.015
5886.72823,17.560,0.015
5887.80060,17.518,0.010
5888.78925,17.540,0.011
5889.83144,17.540,0.012
5890.76500,17.532,0.011
5891.72365,17.536,0.012
5892.74142,17.519,0.011
5893.75952,17.565,0.011
5894.78295,17.529,0.010
5895.80007,17.507,0.011
5896.78311,17.558,0.011
5897.72993,17.528,0.010
5898.71211,17.580,0.011
5899.77129,17.547,0.011
5900.72091,17.579,0.011
5901.77022,17.556,0.013
5902.72147,17.576,0.015
5903.77666,17.574,0.013
5904.75124,17.608,0.012
5905.72530,17.549,0.013
5906.73718,17.600,0.014
5907.71528,17.619,0.013
5908.74053,17.608,0.013
5909.78507,17.616,0.013
5910.69785,17.619,0.012
5911.72970,17.634,0.011
5912.75018,17.630,0.011
5913.72212,17.648,0.010
5914.74474,17.645,0.010
5915.70179,17.682,0.010
5916.75564,17.657,0.010
5917.71928,17.670,0.011
5922.73631,17.691,0.010
5923.71255,17.705,0.010
5924.69386,17.689,0.011
5925.70790,17.717,0.013
5926.71969,17.672,0.011
5927.71869,17.688,0.013
5929.69283,17.663,0.012
5930.83802,17.661,0.012
5931.65842,17.648,0.013
5932.65660,17.635,0.013
5933.70702,17.604,0.014
5934.70305,17.638,0.012
5935.65409,17.686,0.019
5936.64817,17.608,0.016
5937.67792,17.591,0.011
5938.67869,17.611,0.012
5939.72245,17.588,0.012
5940.75840,17.583,0.013
5941.75833,17.589,0.013
5942.78268,17.533,0.011
5943.74018,17.577,0.012
5944.73342,17.543,0.010
5945.71372,17.529,0.010
5946.65356,17.552,0.010
5946.76991,17.549,0.012
5947.72051,17.532,0.012
5948.70931,17.563,0.011
5949.72550,17.534,0.012
5950.64650,17.526,0.009
5951.67186,17.518,0.012
5952.69645,17.516,0.009
5953.69440,17.521,0.011
5954.69193,17.495,0.008
5955.71456,17.503,0.010
5956.71460,17.528,0.010
5958.73178,17.500,0.010
5959.70376,17.534,0.011
5960.70581,17.516,0.010
5961.63754,17.527,0.010
5962.63844,17.520,0.014
5963.60515,17.570,0.016
5964.61713,17.526,0.014
5965.61606,17.538,0.012
5967.63818,17.557,0.015
5968.63830,17.559,0.012
5969.61431,17.572,0.010
5970.59181,17.550,0.010
5971.68469,17.615,0.010
5972.67107,17.577,0.010
5973.65411,17.564,0.009
5976.64332,17.642,0.012
5977.67687,17.624,0.012
5978.65329,17.619,0.010
5979.60349,17.637,0.012
5980.61913,17.634,0.013
5981.64261,17.658,0.013
5982.64849,17.664,0.014
5983.69116,17.690,0.011
5984.63018,17.674,0.011
5985.66252,17.688,0.013
5986.59228,17.678,0.011
5987.66774,17.702,0.013
5988.63423,17.702,0.014
5989.59817,17.689,0.012
5990.59167,17.711,0.016
5991.66669,17.736,0.018
5992.62693,17.685,0.015
5993.58383,17.678,0.014
5994.58248,17.667,0.015
5995.63020,17.659,0.017
5996.60027,17.669,0.017
5997.60244,17.635,0.016
5998.60079,17.647,0.012
5998.66122,17.645,0.014
5999.63949,17.623,0.012
6000.61688,17.624,0.012
6002.58060,17.632,0.012
6003.54672,17.582,0.014
6004.60713,17.605,0.013
6005.57477,17.566,0.012
6006.57412,17.531,0.011
6007.57244,17.582,0.011
6009.54807,17.504,0.013
6010.60011,17.567,0.015
6011.56239,17.569,0.012
6012.56146,17.526,0.013
6013.54320,17.513,0.011
6014.56215,17.545,0.011
6015.55752,17.529,0.011
6016.59815,17.502,0.010
6017.56132,17.525,0.012
6019.56331,17.499,0.013
6020.58692,17.495,0.012
6021.57500,17.496,0.013
6022.58650,17.527,0.016
6023.56054,17.482,0.011
6024.58339,17.505,0.015
6025.58339,17.553,0.018
6026.52968,17.528,0.014
6028.56642,17.554,0.014
6031.51178,17.543,0.016
6032.50432,17.552,0.016
6033.49187,17.516,0.014
6034.49748,17.555,0.013
6035.52287,17.556,0.013
6036.49969,17.555,0.013
6037.49939,17.579,0.016
6038.49111,17.557,0.016
6039.49778,17.592,0.016
6040.50008,17.637,0.014
6042.49770,17.635,0.018
6047.47476,17.657,0.016
6048.47347,17.661,0.015
6049.49678,17.653,0.013
6050.47237,17.678,0.017
6052.48801,17.693,0.016
6053.48508,17.663,0.017
6055.49368,17.667,0.016
6056.48066,17.684,0.015
6057.47654,17.676,0.014
6058.47703,17.679,0.013
6059.47787,17.707,0.015
6060.48062,17.660,0.015
6061.47175,17.727,0.019
6062.46579,17.697,0.017
6123.91514,17.701,0.011
6137.91309,17.580,0.014
6149.93671,17.526,0.017
6164.92720,17.545,0.017
6165.91301,17.553,0.012
6171.87882,17.557,0.011
6174.90465,17.565,0.016
6179.90484,17.616,0.014
6180.85737,17.663,0.015
6181.87158,17.620,0.011
6182.87614,17.804,0.011
6183.87783,17.654,0.009
6184.90438,17.688,0.010
6185.85410,17.691,0.010
6186.85558,17.677,0.012
6191.88116,17.663,0.009
6193.86844,17.509,0.010
6194.88543,17.642,0.010
6196.80772,17.630,0.013
6196.89463,17.628,0.011
6198.85265,17.616,0.017
6198.89483,17.615,0.014
6199.80766,17.641,0.015
6199.87810,17.588,0.016
6200.82781,17.625,0.014
6200.88391,17.630,0.017
6202.74219,17.587,0.016
6202.81301,17.599,0.017
6202.88197,17.599,0.013
6202.90056,17.601,0.023
6203.74151,17.635,0.016
6203.81141,17.579,0.013
6203.86403,17.635,0.012
6203.89980,17.560,0.023
6204.72554,17.659,0.018
6204.72843,17.632,0.015
6204.78946,17.597,0.012
6204.84794,17.594,0.010
6204.89696,17.634,0.019
6205.71446,17.561,0.016
6206.78333,17.580,0.015
6207.87530,17.567,0.012
6208.77068,17.558,0.010
6210.85807,17.571,0.011
6210.87401,17.589,0.012
6212.82675,17.560,0.011
6214.87796,17.585,0.014
6216.82463,17.560,0.010
6219.80963,17.522,0.011
6221.82291,17.531,0.011
6222.82381,17.557,0.013
6222.86636,17.556,0.014
6223.78089,17.529,0.010
6223.85349,17.553,0.010
6223.87511,17.561,0.011
6224.83243,17.526,0.009
6224.87001,17.552,0.011
6225.64502,17.557,0.014
6225.69041,17.551,0.012
6225.72848,17.564,0.013
6225.82355,17.505,0.011
6226.68346,17.533,0.015
6226.74084,17.555,0.013
6226.79546,17.526,0.011
6226.87271,17.527,0.013
6227.81290,17.531,0.018
6228.62401,17.564,0.014
6228.68148,17.563,0.016
6229.62664,17.574,0.018
6229.69570,17.540,0.014
6229.77242,17.532,0.013
6229.86498,17.531,0.012
6230.64934,17.385,0.014
6230.71435,17.560,0.016
6230.72726,17.529,0.016
6230.86806,17.539,0.015
6231.75208,17.572,0.013
6231.86140,17.505,0.014
6232.81803,17.564,0.011
6232.87190,17.530,0.014
6233.82457,17.568,0.010
6234.82843,17.584,0.010
6235.77582,17.579,0.011
6236.79340,17.571,0.011
6237.86942,17.583,0.013
6238.82716,17.587,0.011
6239.80117,17.607,0.011
6240.84444,17.645,0.013
6241.79809,17.608,0.011
6242.84103,17.602,0.010
6243.80940,17.625,0.010
6244.74284,17.644,0.010
6245.76670,17.629,0.011
6248.78340,17.638,0.010
6251.77401,17.645,0.010
6252.75321,17.637,0.011
6252.83372,17.607,0.013
6252.85770,17.611,0.013
6254.78390,17.619,0.010
6257.81172,17.601,0.014
6262.73601,17.600,0.011
6265.80802,17.571,0.010
6270.82399,17.597,0.010
6274.81560,17.591,0.011
6277.52819,17.480,0.014
6277.53043,17.588,0.014
6277.53267,17.565,0.013
6277.53524,17.588,0.013
6277.67123,17.569,0.010
6277.75599,17.598,0.009
6278.76268,17.578,0.012
6282.78551,17.579,0.012
6286.71877,17.544,0.011
6289.78809,17.564,0.013
6294.80812,17.549,0.013
6299.76652,17.543,0.012
6300.59093,17.565,0.010
6300.67895,17.580,0.011
6300.75468,17.538,0.011
6301.54984,17.563,0.012
6301.57127,17.586,0.011
6301.59310,17.571,0.010
6301.61524,17.550,0.010
6301.63511,17.595,0.014
6301.65735,17.597,0.011
6301.67972,17.554,0.012
6301.69561,17.570,0.012
6301.72208,17.557,0.012
6301.74234,17.576,0.012
6301.76291,17.562,0.011
6301.78297,17.565,0.013
6301.80621,17.582,0.016
6301.82555,17.618,0.015
6302.56536,17.549,0.009
6302.67071,17.566,0.009
6302.76890,17.561,0.010
6303.54191,17.570,0.010
6303.74010,17.589,0.011
6304.54790,17.576,0.009
6305.69024,17.603,0.014
6306.63288,17.605,0.011
6307.62210,17.602,0.009
