DATE,DEXUSUK
2009-01-04,1.4531250000000000
2009-01-11,1.5012400000000000
2009-01-18,1.4662200000000000
2009-01-25,1.3812250000000000
2009-02-01,1.4220000000000000
2009-02-08,1.4500400000000000
2009-02-15,1.4515400000000000
2009-02-22,1.4274750000000000
2009-03-01,1.4368800000000000
2009-03-08,1.4079800000000000
2009-03-15,1.3832000000000000
2009-03-22,1.4220400000000000
2009-03-29,1.4526600000000000
2009-04-05,1.4470200000000000
2009-04-12,1.4681200000000000
2009-04-19,1.4883000000000000
2009-04-26,1.4609600000000000
2009-05-03,1.4753400000000000
2009-05-10,1.5051200000000000
2009-05-17,1.5193400000000000
2009-05-24,1.5627000000000000
2009-05-31,1.6030500000000000
2009-06-07,1.6311600000000000
2009-06-14,1.6329400000000000
2009-06-21,1.6382600000000000
2009-06-28,1.6401400000000000
2009-07-05,1.6448600000000000
2009-07-12,1.6180200000000000
2009-07-19,1.6331800000000000
2009-07-26,1.6469200000000000
2009-08-02,1.6507600000000000
2009-08-09,1.6861600000000000
2009-08-16,1.6527000000000000
2009-08-23,1.6458600000000000
2009-08-30,1.6325000000000000
2009-09-06,1.6296600000000000
2009-09-13,1.6603250000000000
2009-09-20,1.6462600000000000
2009-09-27,1.6209400000000000
2009-10-04,1.5933200000000000
2009-10-11,1.5943000000000000
2009-10-18,1.6117250000000000
2009-10-25,1.6467200000000000
2009-11-01,1.6419600000000000
2009-11-08,1.6503000000000000
2009-11-15,1.6650500000000000
2009-11-22,1.6701200000000000
2009-11-29,1.6585250000000000
2009-12-06,1.6553800000000000
2009-12-13,1.6293200000000000
2009-12-20,1.6221200000000000
2009-12-27,1.5983750000000000
2010-01-03,1.6027500000000000
2010-01-10,1.6007800000000000
2010-01-17,1.6235000000000000
2010-01-24,1.6247750000000000
2010-01-31,1.6160000000000000
2010-02-07,1.5837800000000000
2010-02-14,1.5655600000000000
2010-02-21,1.5613750000000000
2010-02-28,1.5362600000000000
2010-03-07,1.5036800000000000
2010-03-14,1.5056000000000000
2010-03-21,1.5158400000000000
2010-03-28,1.4968400000000000
2010-04-04,1.5146400000000000
2010-04-11,1.5280600000000000
2010-04-18,1.5425600000000000
2010-04-25,1.5353200000000000
2010-05-02,1.5304400000000000
2010-05-09,1.5027800000000000
2010-05-16,1.4800600000000000
2010-05-23,1.4397200000000000
2010-05-30,1.4450200000000000
2010-06-06,1.4605750000000000
2010-06-13,1.4544800000000000
2010-06-20,1.4805600000000000
2010-06-27,1.4919800000000000
2010-07-04,1.5086200000000000
2010-07-11,1.5152750000000000
2010-07-18,1.5228000000000000
2010-07-25,1.5277200000000000
2010-08-01,1.5588800000000000
2010-08-08,1.5912800000000000
2010-08-15,1.5712400000000000
2010-08-22,1.5602200000000000
2010-08-29,1.5513000000000000
2010-09-05,1.5429600000000000
2010-09-12,1.5415750000000000
2010-09-19,1.5582600000000000
2010-09-26,1.5663200000000000
2010-10-03,1.5806200000000000
2010-10-10,1.5909600000000000
2010-10-17,1.5915250000000000
2010-10-24,1.5786600000000000
2010-10-31,1.5873200000000000
2010-11-07,1.6126600000000000
2010-11-14,1.6110750000000000
2010-11-21,1.5971400000000000
2010-11-28,1.5786500000000000
2010-12-05,1.5614200000000000
2010-12-12,1.5763200000000000
2010-12-19,1.5676400000000000
2010-12-26,1.5443250000000000
2011-01-02,1.5399500000000000
2011-01-09,1.5524600000000000
2011-01-16,1.5734200000000000
2011-01-23,1.5965750000000000
2011-01-30,1.5888400000000000
2011-02-06,1.6116200000000000
2011-02-13,1.6081800000000000
2011-02-20,1.6126200000000000
2011-02-27,1.6133500000000000
2011-03-06,1.6276600000000000
2011-03-13,1.6133200000000000
2011-03-20,1.6120600000000000
2011-03-27,1.6230800000000000
2011-04-03,1.6045000000000000
2011-04-10,1.6274000000000000
2011-04-17,1.6321800000000000
2011-04-24,1.6407600000000000
2011-05-01,1.6563800000000000
2011-05-08,1.6518800000000000
2011-05-15,1.6310000000000000
2011-05-22,1.6199000000000000
2011-05-29,1.6280800000000000
2011-06-05,1.6388000000000000
2011-06-12,1.6364600000000000
2011-06-19,1.6246000000000000
2011-06-26,1.6106200000000000
2011-07-03,1.6039000000000000
2011-07-10,1.6020000000000000
2011-07-17,1.6051400000000000
2011-07-24,1.6183600000000000
2011-07-31,1.6365400000000000
2011-08-07,1.6328200000000000
2011-08-14,1.6245800000000000
2011-08-21,1.6487000000000000
2011-08-28,1.6389200000000000
2011-09-04,1.6263000000000000
2011-09-11,1.5948250000000000
2011-09-18,1.5800400000000000
2011-09-25,1.5568800000000000
2011-10-02,1.5638200000000000
2011-10-09,1.5467800000000000
2011-10-16,1.5722000000000000
2011-10-23,1.5780400000000000
2011-10-30,1.6019200000000000
2011-11-06,1.6009200000000000
2011-11-13,1.5998250000000000
2011-11-20,1.5814200000000000
2011-11-27,1.5571500000000000
2011-12-04,1.5631600000000000
2011-12-11,1.5647400000000000
2011-12-18,1.5514000000000000
2011-12-25,1.5633400000000000
2012-01-01,1.5518000000000000
2012-01-08,1.5551000000000000
2012-01-15,1.5375200000000000
2012-01-22,1.5447500000000000
2012-01-29,1.5633800000000000
2012-02-05,1.5777000000000000
2012-02-12,1.5825800000000000
2012-02-19,1.5757800000000000
2012-02-26,1.5760500000000000
2012-03-04,1.5897600000000000
2012-03-11,1.5767000000000000
2012-03-18,1.5710200000000000
2012-03-25,1.5854000000000000
2012-04-01,1.5932400000000000
2012-04-08,1.5913200000000000
2012-04-15,1.5879400000000000
2012-04-22,1.5999400000000000
2012-04-29,1.6162000000000000
