DATE,IPG3113S
1991-05-01,111.1848
1991-06-01,114.4436
1991-07-01,110.4236
1991-08-01,113.9170
1991-09-01,107.4671
1991-10-01,105.9044
1991-11-01,106.7372
1991-12-01,103.5806
1992-01-01,103.1290
1992-02-01,103.4598
1992-03-01,103.2572
1992-04-01,106.5320
1992-05-01,105.2068
1992-06-01,103.2070
1992-07-01,100.8055
1992-08-01,99.6949
1992-09-01,103.0965
1992-10-01,100.5611
1992-11-01,101.4029
1992-12-01,101.3394
1993-01-01,103.2152
1993-02-01,103.3962
1993-03-01,102.4959
1993-04-01,105.5288
1993-05-01,102.8544
1993-06-01,104.7481
1993-07-01,104.6449
1993-08-01,107.2928
1993-09-01,106.3314
1993-10-01,107.1641
1993-11-01,104.5897
1993-12-01,102.6796
1994-01-01,102.6668
1994-02-01,102.8698
1994-03-01,106.3551
1994-04-01,102.2415
1994-05-01,100.4388
1994-06-01,103.2449
1994-07-01,106.7929
1994-08-01,106.8207
1994-09-01,106.9526
1994-10-01,106.8218
1994-11-01,104.2893
1994-12-01,105.4055
1995-01-01,105.2858
1995-02-01,102.8138
1995-03-01,103.2755
1995-04-01,107.5840
1995-05-01,107.0631
1995-06-01,107.0895
1995-07-01,107.6489
1995-08-01,104.7827
1995-09-01,103.4090
1995-10-01,105.3873
1995-11-01,105.6176
1995-12-01,110.0109
1996-01-01,102.5777
1996-02-01,109.0247
1996-03-01,109.9430
1996-04-01,108.9807
1996-05-01,110.1823
1996-06-01,108.9290
1996-07-01,107.7305
1996-08-01,110.0510
1996-09-01,109.9272
1996-10-01,111.7574
1996-11-01,115.2479
1996-12-01,117.6096
1997-01-01,110.5701
1997-02-01,111.7697
1997-03-01,113.7681
1997-04-01,109.8693
1997-05-01,109.9863
1997-06-01,109.7620
1997-07-01,109.8338
1997-08-01,111.8567
1997-09-01,110.2141
1997-10-01,114.5275
1997-11-01,117.1954
1997-12-01,118.4840
1998-01-01,119.7099
1998-02-01,118.5296
1998-03-01,117.8124
1998-04-01,119.6208
1998-05-01,119.2652
1998-06-01,118.5115
1998-07-01,117.4330
1998-08-01,119.7667
1998-09-01,119.3432
1998-10-01,117.0867
1998-11-01,118.9456
1998-12-01,118.8540
1999-01-01,117.3576
1999-02-01,115.3115
1999-03-01,113.8636
1999-04-01,117.2084
1999-05-01,120.0778
1999-06-01,116.0394
1999-07-01,116.0101
1999-08-01,114.5447
1999-09-01,115.0812
1999-10-01,117.8950
1999-11-01,115.1833
1999-12-01,117.6874
2000-01-01,122.0070
2000-02-01,120.1909
2000-03-01,120.9269
2000-04-01,127.4974
2000-05-01,119.9988
2000-06-01,121.7233
2000-07-01,122.7262
2000-08-01,118.9659
2000-09-01,122.6559
2000-10-01,123.3354
2000-11-01,119.1570
2000-12-01,122.8664
2001-01-01,122.2710
2001-02-01,123.8683
2001-03-01,125.9981
2001-04-01,126.6272
2001-05-01,123.5116
2001-06-01,122.6083
2001-07-01,122.2246
2001-08-01,118.8267
2001-09-01,118.0293
2001-10-01,114.0830
2001-11-01,113.0111
2001-12-01,115.3075
2002-01-01,117.1319
2002-02-01,116.3553
2002-03-01,117.0782
2002-04-01,115.3492
2002-05-01,111.6483
2002-06-01,120.1771
2002-07-01,120.5639
2002-08-01,117.9881
2002-09-01,114.4470
2002-10-01,112.1631
2002-11-01,112.0987
2002-12-01,110.1251
2003-01-01,112.3712
2003-02-01,110.6309
2003-03-01,117.6921
2003-04-01,115.8079
2003-05-01,118.0345
2003-06-01,120.8791
2003-07-01,114.9385
2003-08-01,115.5711
2003-09-01,112.5397
2003-10-01,111.4807
2003-11-01,114.9576
2003-12-01,114.3568
2004-01-01,114.7073
2004-02-01,116.4779
2004-03-01,109.4874
2004-04-01,114.8574
2004-05-01,119.7170
2004-06-01,114.0002
2004-07-01,115.2340
2004-08-01,118.5452
2004-09-01,118.5173
2004-10-01,119.6358
2004-11-01,117.4175
2004-12-01,115.7553
2005-01-01,123.0193
2005-02-01,124.1723
2005-03-01,113.7719
2005-04-01,118.1558
2005-05-01,122.1152
2005-06-01,116.7300
2005-07-01,122.6304
2005-08-01,116.5856
2005-09-01,115.4222
2005-10-01,122.9534
2005-11-01,119.8265
2005-12-01,123.8052
2006-01-01,116.0772
2006-02-01,118.2793
2006-03-01,113.8542
2006-04-01,118.4722
2006-05-01,110.2849
2006-06-01,112.2392
2006-07-01,112.6440
2006-08-01,115.1703
2006-09-01,115.9911
2006-10-01,115.5074
2006-11-01,114.6070
2006-12-01,117.1375
2007-01-01,120.5396
2007-02-01,117.5792
2007-03-01,118.4700
2007-04-01,111.6148
2007-05-01,107.2397
2007-06-01,105.5250
2007-07-01,102.1414
2007-08-01,102.6902
2007-09-01,103.9921
2007-10-01,101.8554
2007-11-01,102.9905
2007-12-01,105.8010
2008-01-01,105.7062
2008-02-01,102.2115
2008-03-01,101.5115
2008-04-01,100.7514
2008-05-01,98.0240
2008-06-01,100.5405
2008-07-01,95.8630
2008-08-01,90.9926
2008-09-01,97.8783
2008-10-01,100.6124
2008-11-01,101.6063
2008-12-01,90.2231
2009-01-01,88.8656
2009-02-01,89.0456
2009-03-01,89.9107
2009-04-01,89.1740
2009-05-01,89.5976
2009-06-01,89.4300
2009-07-01,91.1492
2009-08-01,92.7466
2009-09-01,99.0727
2009-10-01,108.2369
2009-11-01,102.8260
2009-12-01,103.5424
2010-01-01,99.0262
2010-02-01,99.3690
2010-03-01,96.1797
2010-04-01,97.7400
