Date,Close,Open,High,Low
2020/4/26,3822.77,3808.02,3842.87,3793.77
2020/4/19,3796.97,3845.46,3857.47,3780
2020/4/12,3839.49,3751.71,3863.45,3740.19
2020/4/5,3769.18,3779.91,3824.74,3758.96
2020/3/29,3713.22,3657.46,3738.83,3637.59
2020/3/22,3710.06,3542.68,3758.78,3523.79
2020/3/15,3653.22,3899.86,3899.86,3503.19
2020/3/8,3895.31,4063.08,4093,3765.15
2020/3/1,4138.51,3968.84,4215.85,3968.84
2020/2/23,3940.05,4131.84,4149.01,3928.07
2020/2/16,4149.49,3999.65,4184.44,3999.65
2020/2/9,3987.73,3872.37,4001.56,3861.01
2020/2/2,3899.87,3639.91,3914.91,3639.91
2020/1/26,4003.9,4003.9,4003.9,4003.9
2020/1/19,4003.9,4170.74,4185.96,3972.39
2020/1/12,4154.85,4166.93,4223.51,4141.64
2020/1/5,4163.18,4120.52,4180.98,4101.98
2019/12/29,4144.96,4015.52,4172.66,4001.5
2019/12/22,4022.03,4014.69,4066.8,3963.67
2019/12/15,4017.25,3970.71,4067.14,3953.51
2019/12/8,3968.22,3909.53,3969.46,3882.09
2019/12/1,3902.39,3835.51,3902.39,3811.63
2019/11/24,3828.67,3850.97,3899.11,3804.83
2019/11/17,3849.99,3874.44,3947.04,3833.5
2019/11/10,3877.09,3948.62,3948.62,3877.09
2019/11/3,3973.01,3964.01,4030.64,3964.01
2019/10/27,3952.39,3904.98,3956.08,3876.42
2019/10/20,3896.79,3865.34,3901.42,3849.03
2019/10/13,3869.38,3944.86,3983.81,3864.97
2019/10/6,3911.73,3818.59,3922.37,3805.07
2019/9/29,3814.53,3842.07,3857.23,3813.55
2019/9/22,3852.65,3925.19,3927.01,3832.25
2019/9/15,3935.65,3981.36,3982.2,3879.49
2019/9/8,3972.38,3980.96,3985.24,3922.95
2019/9/1,3948.51,3803.69,3970,3799.82
2019/8/25,3799.59,3756.36,3848.24,3753.16
2019/8/18,3820.86,3736.03,3829.36,3720.69
2019/8/11,3710.54,3647.87,3738.1,3612.11
2019/8/4,3633.53,3724.41,3739.5,3575.86
2019/7/28,3747.44,3857.94,3890.73,3720.06
2019/7/21,3858.57,3813.5,3863.59,3765.44
2019/7/14,3807.96,3792.64,3844.87,3745.85
2019/7/7,3808.73,3875.75,3875.75,3774.23
2019/6/30,3893.2,3899.33,3942.43,3854.69
2019/6/23,3825.59,3836.31,3854.08,3755.01
2019/6/16,3833.94,3654.44,3856.09,3638.78
2019/6/9,3654.88,3578.01,3723.14,3568.28
2019/6/2,3564.68,3640.61,3672.81,3557.02
2019/5/26,3629.79,3592.6,3693.23,3556.26
2019/5/19,3593.91,3635.74,3690.09,3578.11
2019/5/12,3648.76,3675.76,3745.36,3630.44
2019/5/5,3730.45,3775.08,3791.61,3584.82
2019/4/28,3913.21,3896.58,3953.23,3875.45
2019/4/21,3889.27,4125.97,4126.09,3887.25
2019/4/14,4120.61,4056.49,4120.64,3943.49
2019/4/7,3988.62,4097.1,4122.6,3961.46
2019/3/31,4062.23,3901.17,4072.11,3901.17
2019/3/24,3872.34,3776.44,3876.38,3687.55
2019/3/17,3833.8,3753.64,3868.34,3733.68
