DATE,WILL5000INDFC
2016-06-03,93.95
2016-06-06,94.49
2016-06-07,94.63
2016-06-08,94.98
2016-06-09,94.74
2016-06-10,93.74
2016-06-13,92.98
2016-06-14,92.77
2016-06-15,92.72
2016-06-16,92.93
2016-06-17,92.68
2016-06-20,93.32
2016-06-21,93.54
2016-06-22,93.36
2016-06-23,94.68
2016-06-24,91.28
2016-06-27,89.43
2016-06-28,91.06
2016-06-29,92.69
2016-06-30,93.95
2016-07-01,94.18
2016-07-04,.
2016-07-05,93.44
2016-07-06,93.97
2016-07-07,93.95
2016-07-08,95.44
2016-07-11,95.85
2016-07-12,96.59
2016-07-13,96.54
2016-07-14,96.98
2016-07-15,96.93
2016-07-18,97.18
2016-07-19,97.00
2016-07-20,97.47
2016-07-21,97.12
2016-07-22,97.61
2016-07-25,97.34
2016-07-26,97.44
2016-07-27,97.28
2016-07-28,97.48
2016-07-29,97.69
2016-08-01,97.51
2016-08-02,96.78
2016-08-03,97.22
2016-08-04,97.27
2016-08-05,98.13
2016-08-08,98.10
2016-08-09,98.14
2016-08-10,97.86
2016-08-11,98.33
2016-08-12,98.30
2016-08-15,98.67
2016-08-16,98.10
2016-08-17,98.22
2016-08-18,98.53
2016-08-19,98.39
2016-08-22,98.38
2016-08-23,98.63
2016-08-24,98.07
2016-08-25,98.00
2016-08-26,97.83
2016-08-29,98.36
2016-08-30,98.22
2016-08-31,97.99
2016-09-01,98.03
2016-09-02,98.55
2016-09-05,.
2016-09-06,98.83
2016-09-07,98.95
2016-09-08,98.74
2016-09-09,96.25
2016-09-12,97.61
2016-09-13,96.10
2016-09-14,96.05
2016-09-15,97.03
2016-09-16,96.69
2016-09-19,96.79
2016-09-20,96.76
2016-09-21,97.86
2016-09-22,98.61
2016-09-23,98.07
2016-09-26,97.25
2016-09-27,97.79
2016-09-28,98.38
2016-09-29,97.41
2016-09-30,98.21
2016-10-03,97.90
2016-10-04,97.42
2016-10-05,97.89
2016-10-06,97.84
2016-10-07,97.48
2016-10-10,98.00
2016-10-11,96.76
2016-10-12,96.86
2016-10-13,96.52
2016-10-14,96.50
2016-10-17,96.23
2016-10-18,96.83
2016-10-19,97.10
2016-10-20,96.94
2016-10-21,96.95
2016-10-24,97.46
2016-10-25,97.01
2016-10-26,96.74
2016-10-27,96.33
2016-10-28,96.07
2016-10-31,96.12
2016-11-01,95.41
2016-11-02,94.67
2016-11-03,94.27
2016-11-04,94.19
2016-11-07,96.24
2016-11-08,96.64
2016-11-09,97.96
