DATE,price
2015/12/9,1078.4
2015/12/10,1072
2015/12/11,1067.2
2015/12/14,1068
2015/12/15,1069.15
2015/12/16,1065.75
2015/12/17,1065.85
2015/12/18,1055.25
2015/12/21,1071.15
2015/12/22,1077
2015/12/23,1071.5
2015/12/24,1071.9
2015/12/29,1067.25
2015/12/30,1067.8
2015/12/31,1062.25
2016/1/4,1072.7
2016/1/5,1078
2016/1/6,1083.85
2016/1/7,1096
2016/1/8,1097.45
2016/1/11,1104.7
2016/1/12,1094.85
2016/1/13,1081.8
2016/1/14,1090.75
2016/1/15,1081.1
2016/1/18,1090.45
2016/1/19,1087
2016/1/20,1093.2
2016/1/21,1096.8
2016/1/22,1097.65
2016/1/25,1103.7
2016/1/26,1114.7
2016/1/27,1116.5
2016/1/28,1119
2016/1/29,1112.9
2016/2/1,1122
2016/2/2,1123.6
2016/2/3,1130
2016/2/4,1146.25
2016/2/5,1158.5
2016/2/8,1173.4
2016/2/9,1188.9
2016/2/10,1183.4
2016/2/11,1223.25
2016/2/12,1239.5
2016/2/15,1208.45
2016/2/16,1212
2016/2/17,1202.4
2016/2/18,1204.4
2016/2/19,1221.5
2016/2/22,1203.65
2016/2/23,1218.75
2016/2/24,1232.25
2016/2/25,1235.4
2016/2/26,1231
2016/2/29,1234.15
2016/3/1,1240
2016/3/2,1229.35
2016/3/3,1241.95
2016/3/4,1271.5
2016/3/7,1267.6
2016/3/8,1274.1
2016/3/9,1258.25
2016/3/10,1247.25
2016/3/11,1262.25
2016/3/14,1256.55
2016/3/15,1233.6
2016/3/16,1233.1
2016/3/17,1269.6
2016/3/18,1254.5
2016/3/21,1244.25
2016/3/22,1251.8
2016/3/23,1232.2
2016/3/24,1216.45
2016/3/29,1216.45
2016/3/30,1238.2
2016/3/31,1233.6
2016/4/1,1232.1
2016/4/4,1215
2016/4/5,1231.5
2016/4/6,1225.75
2016/4/7,1237.5
2016/4/8,1235
2016/4/11,1247.25
2016/4/12,1259.2
2016/4/13,1245.75
2016/4/14,1240.3
2016/4/15,1229.75
2016/4/18,1237.7
2016/4/19,1241.7
2016/4/20,1247.75
2016/4/21,1257.65
2016/4/22,1245.4
2016/4/25,1230.85
2016/4/26,1234.5
2016/4/27,1244.75
2016/4/28,1256.6
2016/4/29,1274.5
2016/5/3,1296.5
2016/5/4,1280.3
2016/5/5,1275.75
2016/5/6,1280.25
2016/5/9,1277.75
2016/5/10,1264.85
2016/5/11,1271.8
2016/5/12,1268.3
2016/5/13,1275.15
2016/5/16,1281
2016/5/17,1270.1
2016/5/18,1270.9
2016/5/19,1253.75
2016/5/20,1256.5
2016/5/23,1250.4
2016/5/24,1242.65
2016/5/25,1220.75
2016/5/26,1226.65
2016/5/27,1221.25
2016/5/31,1210.5
2016/6/1,1216.25
2016/6/2,1215.5
2016/6/3,1211
2016/6/6,1240.55
2016/6/7,1241.1
2016/6/8,1252.4
2016/6/9,1258.35
2016/6/10,1266.6
2016/6/13,1284.1
2016/6/14,1279.4
2016/6/15,1282
2016/6/16,1307
2016/6/17,1284.5
2016/6/20,1283.25
2016/6/21,1280.8
2016/6/22,1265
2016/6/23,1265.75
2016/6/24,1313.85
2016/6/27,1324.6
2016/6/28,1312
