DATE,IPG3113N
2000-03-01,113.9440
2000-04-01,115.9366
2000-05-01,108.7050
2000-06-01,114.1865
2000-07-01,111.8502
2000-08-01,117.8758
2000-09-01,125.6211
2000-10-01,136.7841
2000-11-01,135.6035
2000-12-01,138.6749
2001-01-01,122.5523
2001-02-01,121.8652
2001-03-01,118.5766
2001-04-01,114.6790
2001-05-01,112.9189
2001-06-01,115.3177
2001-07-01,113.4740
2001-08-01,119.6590
2001-09-01,123.4923
2001-10-01,125.5041
2001-11-01,128.7022
2001-12-01,129.6254
2002-01-01,117.5314
2002-02-01,114.5022
2002-03-01,110.2696
2002-04-01,104.6559
2002-05-01,101.8143
2002-06-01,112.1796
2002-07-01,110.3714
2002-08-01,117.5073
2002-09-01,119.4746
2002-10-01,124.0366
2002-11-01,128.5837
2002-12-01,124.1994
2003-01-01,113.0569
2003-02-01,111.2146
2003-03-01,111.2595
2003-04-01,105.1961
2003-05-01,107.6504
2003-06-01,111.6932
2003-07-01,102.8624
2003-08-01,113.1314
2003-09-01,116.7651
2003-10-01,125.1005
2003-11-01,132.6658
2003-12-01,128.6644
2004-01-01,116.0268
2004-02-01,117.4936
2004-03-01,103.7528
2004-04-01,102.0621
2004-05-01,109.6807
2004-06-01,106.2147
2004-07-01,106.0787
2004-08-01,116.2523
2004-09-01,120.8070
2004-10-01,132.4378
2004-11-01,133.3291
2004-12-01,130.2165
2005-01-01,124.8000
2005-02-01,124.1635
2005-03-01,107.4495
2005-04-01,106.9623
2005-05-01,111.5758
2005-06-01,107.2551
2005-07-01,110.2170
2005-08-01,114.7574
2005-09-01,119.5867
2005-10-01,136.9220
2005-11-01,136.0434
2005-12-01,139.4553
2006-01-01,117.8115
2006-02-01,117.2928
2006-03-01,107.9168
2006-04-01,107.0953
2006-05-01,101.5948
2006-06-01,101.6437
2006-07-01,101.5490
2006-08-01,112.0091
2006-09-01,119.9266
2006-10-01,129.9478
2006-11-01,130.8532
2006-12-01,132.6237
2007-01-01,122.3639
2007-02-01,117.0724
2007-03-01,113.1144
2007-04-01,99.7567
2007-05-01,98.2231
2007-06-01,94.9091
2007-07-01,91.2052
2007-08-01,100.4096
2007-09-01,109.7134
2007-10-01,115.4878
2007-11-01,117.9540
2007-12-01,120.2295
2008-01-01,108.3783
2008-02-01,101.4978
2008-03-01,97.0188
2008-04-01,91.7700
2008-05-01,88.9187
2008-06-01,89.0752
2008-07-01,85.2313
2008-08-01,88.6986
2008-09-01,103.4240
2008-10-01,114.1803
2008-11-01,115.9428
2008-12-01,101.7851
2009-01-01,89.8737
2009-02-01,88.9209
2009-03-01,85.4691
2009-04-01,79.6033
2009-05-01,80.1360
2009-06-01,79.4562
2009-07-01,82.2304
2009-08-01,89.0144
2009-09-01,101.1765
2009-10-01,123.7703
2009-11-01,117.2174
2009-12-01,116.7290
2010-01-01,100.5420
2010-02-01,99.1735
2010-03-01,92.0938
2010-04-01,89.5854
2010-05-01,90.0255
2010-06-01,89.5124
2010-07-01,96.4233
2010-08-01,106.6800
2010-09-01,115.7266
2010-10-01,126.1147
2010-11-01,117.5556
2010-12-01,118.5801
2011-01-01,102.9242
2011-02-01,102.4238
2011-03-01,98.8713
2011-04-01,97.4356
2011-05-01,91.2978
2011-06-01,89.6496
2011-07-01,89.6130
2011-08-01,91.9053
2011-09-01,93.9514
2011-10-01,116.8534
2011-11-01,116.9504
2011-12-01,115.1080
2012-01-01,100.1206
2012-02-01,99.2108
2012-03-01,94.3146
2012-04-01,87.8448
2012-05-01,85.4797
2012-06-01,86.6830
2012-07-01,89.5798
2012-08-01,98.2929
2012-09-01,112.1795
2012-10-01,114.7231
2012-11-01,115.7975
2012-12-01,115.7737
2013-01-01,106.6710
2013-02-01,101.6045
2013-03-01,102.1904
2013-04-01,94.9246
2013-05-01,91.4226
2013-06-01,91.5543
2013-07-01,92.2867
2013-08-01,100.3684
2013-09-01,105.7177
2013-10-01,117.7928
2013-11-01,122.3068
2013-12-01,124.1418
2014-01-01,105.4654
2014-02-01,104.9389
2014-03-01,102.0681
2014-04-01,93.8916
2014-05-01,89.1534
2014-06-01,89.9568
2014-07-01,88.4429
2014-08-01,98.1274
2014-09-01,106.4908
2014-10-01,118.8043
2014-11-01,127.4414
2014-12-01,126.4155
2015-01-01,107.6571
2015-02-01,106.2873
2015-03-01,103.7155
2015-04-01,98.2731
2015-05-01,94.0990
2015-06-01,98.1664
2015-07-01,100.4136
2015-08-01,113.7938
2015-09-01,114.6695
2015-10-01,126.6756
2015-11-01,125.5704
2015-12-01,122.2341
2016-01-01,111.8408
2016-02-01,112.4552
2016-03-01,113.0074
2016-04-01,109.1638
2016-05-01,107.2796
2016-06-01,107.7816
2016-07-01,108.3806
2016-08-01,110.5585
2016-09-01,116.3812
2016-10-01,127.7974
2016-11-01,124.1445
2016-12-01,123.3810
2017-01-01,115.3858
2017-02-01,118.7370
2017-03-01,109.2540
2017-04-01,111.0958
2017-05-01,104.0867
2017-06-01,105.8039
2017-07-01,103.0999
2017-08-01,115.0500
2017-09-01,122.9153
2017-10-01,123.8745
2017-11-01,121.9578
2017-12-01,127.5542
2018-01-01,116.1868
2018-02-01,118.4109
2018-03-01,113.7411
2018-04-01,113.4276
2018-05-01,108.7876
2018-06-01,105.6288
2018-07-01,105.8609
2018-08-01,113.2536
2018-09-01,123.6877
2018-10-01,123.5622
2018-11-01,124.2246
2018-12-01,130.6568
2019-01-01,119.8812
2019-02-01,120.9312
2019-03-01,119.8100
2019-04-01,113.5809
2019-05-01,110.2302
2019-06-01,110.9534
2019-07-01,108.9312
2019-08-01,118.8347
2019-09-01,129.3317
2019-10-01,130.7999
2019-11-01,135.1141
2019-12-01,139.8009
2020-01-01,129.2662
