DATE,RSXFS
2008-08-01,334045
2008-09-01,328343
2008-10-01,314830
2008-11-01,301332
2008-12-01,294025
2009-01-01,298673
2009-02-01,297631
2009-03-01,292300
2009-04-01,293614
2009-05-01,296501
2009-06-01,302169
2009-07-01,302802
2009-08-01,309023
2009-09-01,301033
2009-10-01,304154
2009-11-01,306675
2009-12-01,308413
2010-01-01,308529
2010-02-01,308520
2010-03-01,316269
2010-04-01,318612
2010-05-01,315356
2010-06-01,315250
2010-07-01,315546
2010-08-01,317345
2010-09-01,319914
2010-10-01,324043
2010-11-01,327635
2010-12-01,329741
2011-01-01,332140
2011-02-01,334674
2011-03-01,337935
2011-04-01,340149
2011-05-01,339232
2011-06-01,341657
2011-07-01,341274
2011-08-01,342228
2011-09-01,345696
2011-10-01,347717
2011-11-01,349352
2011-12-01,349973
2012-01-01,352610
2012-02-01,357233
2012-03-01,358862
2012-04-01,356550
2012-05-01,356050
2012-06-01,352556
2012-07-01,353782
2012-08-01,358397
2012-09-01,361281
2012-10-01,362129
2012-11-01,363013
2012-12-01,364299
2013-01-01,367136
2013-02-01,372356
2013-03-01,369184
2013-04-01,367498
2013-05-01,369367
2013-06-01,370842
2013-07-01,373506
2013-08-01,372534
2013-09-01,372024
2013-10-01,373308
2013-11-01,373969
2013-12-01,376505
2014-01-01,372733
2014-02-01,378225
2014-03-01,381925
2014-04-01,386549
2014-05-01,386876
2014-06-01,387554
2014-07-01,388119
2014-08-01,391346
2014-09-01,389737
2014-10-01,390428
2014-11-01,391684
2014-12-01,388533
2015-01-01,385672
2015-02-01,384783
2015-03-01,390642
2015-04-01,390974
2015-05-01,394401
2015-06-01,395076
2015-07-01,397918
2015-08-01,397665
2015-09-01,396260
2015-10-01,394829
2015-11-01,396164
2015-12-01,397132
2016-01-01,395370
2016-02-01,398143
2016-03-01,396856
2016-04-01,398989
2016-05-01,400234
2016-06-01,404730
2016-07-01,404494
2016-08-01,404578
2016-09-01,406362
2016-10-01,407921
2016-11-01,406599
2016-12-01,412436
2017-01-01,416299
2017-02-01,415060
2017-03-01,414214
2017-04-01,417247
2017-05-01,415000
2017-06-01,417072
2017-07-01,417658
2017-08-01,418332
2017-09-01,427552
2017-10-01,428663
2017-11-01,431718
2017-12-01,433706
2018-01-01,434453
2018-02-01,434970
2018-03-01,434200
2018-04-01,436873
2018-05-01,441597
2018-06-01,441099
2018-07-01,443270
2018-08-01,441704
2018-09-01,442814
2018-10-01,448136
2018-11-01,448756
2018-12-01,438731
2019-01-01,445572
2019-02-01,442081
2019-03-01,450752
2019-04-01,452232
2019-05-01,454135
2019-06-01,455546
2019-07-01,458974
2019-08-01,461893
2019-09-01,459191
2019-10-01,461047
2019-11-01,462513
2019-12-01,462598
2020-01-01,463226
