DATE,RSXFSN
2003-10-01,273781
2003-11-01,272396
2003-12-01,327693
2004-01-01,252818
2004-02-01,253689
2004-03-01,287944
2004-04-01,284325
2004-05-01,296253
2004-06-01,289664
2004-07-01,294875
2004-08-01,294133
2004-09-01,282974
2004-10-01,287468
2004-11-01,294278
2004-12-01,354627
2005-01-01,263469
2005-02-01,265320
2005-03-01,306384
2005-04-01,302054
2005-05-01,311292
2005-06-01,317375
2005-07-01,316887
2005-08-01,321409
2005-09-01,300439
2005-10-01,302213
2005-11-01,311715
2005-12-01,370726
2006-01-01,286152
2006-02-01,282417
2006-03-01,326153
2006-04-01,316526
2006-05-01,337393
2006-06-01,330844
2006-07-01,325905
2006-08-01,339155
2006-09-01,310775
2006-10-01,312976
2006-11-01,323089
2006-12-01,380188
2007-01-01,295284
2007-02-01,290065
2007-03-01,335917
2007-04-01,321981
2007-05-01,353201
2007-06-01,338189
2007-07-01,333815
2007-08-01,349191
2007-09-01,317145
2007-10-01,331073
2007-11-01,341848
2007-12-01,387473
2008-01-01,307576
2008-02-01,308171
2008-03-01,334416
2008-04-01,331002
2008-05-01,357277
2008-06-01,339791
2008-07-01,344158
2008-08-01,342443
2008-09-01,313308
2008-10-01,311422
2008-11-01,299238
2008-12-01,346513
2009-01-01,273998
2009-02-01,264465
2009-03-01,290068
2009-04-01,292041
2009-05-01,307481
2009-06-01,306050
2009-07-01,308847
2009-08-01,314505
2009-09-01,288071
2009-10-01,300360
2009-11-01,303850
2009-12-01,362735
2010-01-01,279044
2010-02-01,275566
2010-03-01,321305
2010-04-01,316940
2010-05-01,324820
2010-06-01,319183
2010-07-01,320915
2010-08-01,322319
2010-09-01,307638
2010-10-01,315059
2010-11-01,328381
2010-12-01,386878
2011-01-01,298626
2011-02-01,299920
2011-03-01,345052
2011-04-01,339014
2011-05-01,348979
2011-06-01,346620
2011-07-01,341381
2011-08-01,352224
2011-09-01,333642
2011-10-01,337067
2011-11-01,351517
2011-12-01,408910
2012-01-01,315540
2012-02-01,331470
2012-03-01,368502
2012-04-01,349194
2012-05-01,373129
2012-06-01,356083
2012-07-01,351520
2012-08-01,372986
2012-09-01,342582
2012-10-01,355823
2012-11-01,368593
2012-12-01,416807
2013-01-01,333789
2013-02-01,332491
2013-03-01,374155
2013-04-01,362984
2013-05-01,389700
2013-06-01,369274
2013-07-01,376928
2013-08-01,388112
2013-09-01,352560
2013-10-01,369638
2013-11-01,378498
2013-12-01,430321
2014-01-01,340122
2014-02-01,337129
2014-03-01,383241
2014-04-01,383688
2014-05-01,408177
2014-06-01,385387
2014-07-01,394591
2014-08-01,401280
2014-09-01,374354
2014-10-01,388322
2014-11-01,391551
2014-12-01,451598
2015-01-01,350067
2015-02-01,341459
2015-03-01,392848
2015-04-01,387352
2015-05-01,409376
2015-06-01,397752
2015-07-01,406393
2015-08-01,404729
2015-09-01,382020
2015-10-01,392545
2015-11-01,396490
2015-12-01,464962
2016-01-01,351890
2016-02-01,363687
2016-03-01,405310
2016-04-01,395119
2016-05-01,413405
2016-06-01,410397
2016-07-01,406139
2016-08-01,416795
2016-09-01,394442
2016-10-01,397354
2016-11-01,414458
2016-12-01,482778
2017-01-01,368658
2017-02-01,365236
2017-03-01,422916
2017-04-01,407457
2017-05-01,435053
2017-06-01,423705
2017-07-01,417371
2017-08-01,432404
2017-09-01,413093
2017-10-01,418517
2017-11-01,443513
2017-12-01,498971
2018-01-01,390689
2018-02-01,381932
2018-03-01,446512
2018-04-01,421678
2018-05-01,465377
2018-06-01,445793
2018-07-01,443977
2018-08-01,458781
2018-09-01,420602
2018-10-01,444271
2018-11-01,463403
2018-12-01,500260
2019-01-01,402128
2019-02-01,387672
2019-03-01,451740
2019-04-01,446483
2019-05-01,479072
2019-06-01,451733
2019-07-01,466814
2019-08-01,479296
2019-09-01,435427
2019-10-01,460267
2019-11-01,474437
2019-12-01,529635
2020-01-01,418479
