DATE,NASDAQ100
2001-06-15,1780.3320000000000000
2001-06-22,1708.5280000000000000
2001-06-29,1778.1340000000000000
2001-07-06,1767.2050000000000000
2001-07-13,1692.9600000000000000
2001-07-20,1690.9020000000000000
2001-07-27,1643.8440000000000000
2001-08-03,1712.1040000000000000
2001-08-10,1654.3560000000000000
2001-08-17,1590.7620000000000000
2001-08-24,1521.7480000000000000
2001-08-31,1505.5980000000000000
2001-09-07,1388.8450000000000000
2001-09-14,1365.3900000000000000
2001-09-21,1195.7580000000000000
2001-09-28,1172.7080000000000000
2001-10-05,1218.4820000000000000
2001-10-12,1322.5160000000000000
2001-10-19,1355.2900000000000000
2001-10-26,1425.1540000000000000
2001-11-02,1386.3100000000000000
2001-11-09,1510.7060000000000000
2001-11-16,1572.0240000000000000
2001-11-23,1574.1900000000000000
2001-11-30,1596.3800000000000000
2001-12-07,1662.9180000000000000
2001-12-14,1636.8320000000000000
2001-12-21,1612.4680000000000000
2001-12-28,1598.9400000000000000
2002-01-04,1632.2825000000000000
2002-01-11,1652.2040000000000000
2002-01-18,1585.1480000000000000
2002-01-25,1543.5950000000000000
2002-02-01,1545.5300000000000000
2002-02-08,1450.8040000000000000
2002-02-15,1468.1120000000000000
2002-02-22,1374.9850000000000000
2002-03-01,1396.4580000000000000
2002-03-08,1515.1040000000000000
2002-03-15,1506.6420000000000000
2002-03-22,1484.1300000000000000
2002-03-29,1439.1175000000000000
2002-04-05,1411.3620000000000000
2002-04-12,1355.6140000000000000
2002-04-19,1390.7280000000000000
2002-04-26,1305.6340000000000000
2002-05-03,1241.4720000000000000
2002-05-10,1206.4020000000000000
2002-05-17,1299.9580000000000000
2002-05-24,1270.4860000000000000
2002-05-31,1224.9400000000000000
2002-06-07,1166.2820000000000000
2002-06-14,1115.2140000000000000
2002-06-21,1096.7680000000000000
2002-06-28,1041.9380000000000000
2002-07-05,1004.6000000000000000
2002-07-12,992.4920000000000000
2002-07-19,1004.2240000000000000
2002-07-26,918.5460000000000000
2002-08-02,943.7400000000000000
2002-08-09,912.5280000000000000
2002-08-16,958.4960000000000000
2002-08-23,1025.7920000000000000
2002-08-30,968.0440000000000000
2002-09-06,906.4400000000000000
2002-09-13,933.0380000000000000
2002-09-20,887.7480000000000000
2002-09-27,860.2760000000000000
2002-10-04,840.2640000000000000
2002-10-11,832.7420000000000000
2002-10-18,932.4980000000000000
2002-10-25,978.6000000000000000
2002-11-01,986.9940000000000000
2002-11-08,1039.4940000000000000
2002-11-15,1021.0940000000000000
2002-11-22,1075.1660000000000000
2002-11-29,1114.0800000000000000
2002-12-06,1079.5500000000000000
2002-12-13,1026.0100000000000000
2002-12-20,1023.1680000000000000
2002-12-27,1017.4825000000000000
2003-01-03,1008.4200000000000000
2003-01-10,1067.8520000000000000
2003-01-17,1066.1020000000000000
2003-01-24,1011.0725000000000000
2003-01-31,994.5900000000000000
2003-02-07,971.0740000000000000
2003-02-14,966.4660000000000000
2003-02-21,1009.5450000000000000
2003-02-28,994.6040000000000000
2003-03-07,987.0120000000000000
2003-03-14,990.7820000000000000
2003-03-21,1081.4940000000000000
2003-03-28,1057.7240000000000000
2003-04-04,1043.9040000000000000
2003-04-11,1036.4780000000000000
2003-04-18,1059.9600000000000000
2003-04-25,1097.5440000000000000
2003-05-02,1115.9400000000000000
2003-05-09,1137.4400000000000000
2003-05-16,1156.3880000000000000
2003-05-23,1120.1040000000000000
2003-05-30,1181.4000000000000000
2003-06-06,1210.6580000000000000
2003-06-13,1214.0020000000000000
2003-06-20,1235.6260000000000000
2003-06-27,1200.0420000000000000
2003-07-04,1224.0375000000000000
2003-07-11,1284.9280000000000000
2003-07-18,1279.6100000000000000
2003-07-25,1259.8000000000000000
2003-08-01,1272.1520000000000000
2003-08-08,1227.3360000000000000
2003-08-15,1241.9480000000000000
2003-08-22,1300.6840000000000000
2003-08-29,1321.6580000000000000
2003-09-05,1364.1100000000000000
2003-09-12,1359.6000000000000000
2003-09-19,1379.9560000000000000
2003-09-26,1345.8340000000000000
2003-10-03,1337.3940000000000000
2003-10-10,1391.6960000000000000
2003-10-17,1414.7400000000000000
2003-10-24,1393.5120000000000000
2003-10-31,1410.2240000000000000
2003-11-07,1435.7760000000000000
2003-11-14,1423.0320000000000000
2003-11-21,1374.8320000000000000
2003-11-28,1418.7575000000000000
2003-12-05,1427.6060000000000000
2003-12-12,1404.9800000000000000
2003-12-19,1411.5160000000000000
2003-12-26,1441.7325000000000000
2004-01-02,1467.9675000000000000
2004-01-09,1512.6420000000000000
2004-01-16,1536.8520000000000000
2004-01-23,1540.2750000000000000
2004-01-30,1510.7880000000000000
2004-02-06,1481.2560000000000000
2004-02-13,1498.2380000000000000
2004-02-20,1495.2400000000000000
2004-02-27,1468.7060000000000000
2004-03-05,1476.6300000000000000
2004-03-12,1425.9380000000000000
2004-03-19,1410.4360000000000000
2004-03-26,1394.9080000000000000
2004-04-02,1453.8980000000000000
2004-04-09,1492.3550000000000000
2004-04-16,1470.5960000000000000
2004-04-23,1468.7800000000000000
2004-04-30,1449.1500000000000000
2004-05-07,1417.5220000000000000
2004-05-14,1410.1520000000000000
2004-05-21,1395.7500000000000000
2004-05-28,1448.9780000000000000
2004-06-04,1458.2525000000000000
2004-06-11,1484.5475000000000000
2004-06-18,1469.3020000000000000
2004-06-25,1481.6620000000000000
2004-07-02,1497.2240000000000000
2004-07-09,1442.3325000000000000
2004-07-16,1416.9860000000000000
2004-07-23,1397.6800000000000000
2004-07-30,1388.5180000000000000
2004-08-06,1366.6840000000000000
