Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
02/02/2019,AQS,261619991,1,0.04,ppm,37,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/03/2019,AQS,261619991,1,0.035,ppm,32,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/04/2019,AQS,261619991,1,0.029,ppm,27,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/05/2019,AQS,261619991,1,0.025,ppm,23,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/06/2019,AQS,261619991,1,0.013,ppm,12,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/07/2019,AQS,261619991,1,0.029,ppm,27,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/08/2019,AQS,261619991,1,0.037,ppm,34,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/09/2019,AQS,261619991,1,0.037,ppm,34,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/10/2019,AQS,261619991,1,0.03,ppm,28,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/11/2019,AQS,261619991,1,0.029,ppm,27,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
